playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.05,1.02,15.91,1.28,0.85,1.00,1.12,0.41,276.52,277.887753694581,0.5
AI3 PiecePos-Analyzing_34,4.00,1.02,16.36,1.28,0.88,1.02,1.10,0.39,283.53399999999993,277.887753694581,0.0
AI3 PiecePos-Analyzing_31,4.00,1.02,16.28,1.29,0.86,1.00,1.10,0.40,282.235,277.887753694581,1.0
AI3 PiecePos-Analyzing_33,4.01,0.99,16.06,1.28,0.86,0.98,1.12,0.40,278.714,277.887753694581,1.0
AI3 PiecePos-Analyzing_35,4.01,1.02,15.99,1.31,0.87,1.01,1.12,0.40,277.701,277.887753694581,1.0
AI3 PiecePos-Analyzing_16,3.94,0.99,15.88,1.32,0.87,1.01,1.09,0.39,275.6070000000001,277.887753694581,0.0
AI3 PiecePos-Analyzing_5,3.99,1.00,15.66,1.32,0.87,0.98,1.10,0.39,272.278,277.887753694581,0.0
AI3 PiecePos-Analyzing_26,3.96,0.99,15.65,1.31,0.89,1.00,1.09,0.40,272.004,277.887753694581,0.0
AI3 PiecePos-Analyzing_25,4.06,0.99,15.80,1.29,0.85,1.01,1.13,0.39,274.79600000000005,277.887753694581,0.0
AI3 PiecePos-Analyzing_24,4.01,1.02,15.99,1.29,0.88,1.00,1.13,0.41,277.688,277.887753694581,0.0
AI3 PiecePos-Analyzing_15,4.01,1.01,16.29,1.31,0.85,0.99,1.07,0.41,282.404,277.887753694581,1.0
AI3 PiecePos-Analyzing_13,4.10,1.02,15.95,1.31,0.86,1.02,1.11,0.40,277.412,277.887753694581,0.5
AI3 PiecePos-Analyzing_29,3.98,1.01,16.24,1.28,0.86,1.00,1.10,0.39,281.48799999999994,277.887753694581,0.0
AI3 PiecePos-Analyzing_22,3.93,1.00,16.26,1.31,0.88,1.00,1.10,0.40,281.657,277.887753694581,0.0
AI3 PiecePos-Analyzing_9,3.94,1.00,15.71,1.30,0.86,1.00,1.13,0.40,272.901,277.887753694581,0.0
AI3 PiecePos-Analyzing_2,3.94,1.02,15.74,1.33,0.86,1.02,1.08,0.40,273.405,277.887753694581,0.0
AI3 PiecePos-Analyzing_32,3.99,0.98,15.97,1.30,0.89,0.99,1.12,0.40,277.2440000000001,277.887753694581,0.0
AI3 PiecePos-Analyzing_20,4.07,0.99,15.88,1.30,0.88,1.00,1.09,0.41,276.107,277.887753694581,0.5
AI3 PiecePos-Analyzing_17,4.09,1.01,16.27,1.33,0.87,1.00,1.10,0.39,282.481,277.887753694581,1.0
AI3 PiecePos-Analyzing_21,3.91,0.99,15.91,1.30,0.87,1.01,1.08,0.40,275.934,277.887753694581,0.0
AI3 PiecePos-Analyzing_3,4.01,1.00,15.76,1.33,0.85,1.00,1.12,0.40,274.00100000000003,277.887753694581,1.0
AI3 PiecePos-Analyzing_1,4.02,0.99,16.27,1.29,0.87,0.98,1.12,0.41,282.13900000000007,277.887753694581,1.0
AI3 PiecePos-Analyzing_18,3.92,1.01,16.35,1.31,0.87,1.00,1.12,0.39,283.07700000000006,277.887753694581,0.0
AI3 PiecePos-Analyzing_11,4.00,0.99,15.77,1.31,0.89,0.99,1.09,0.40,274.074,277.887753694581,0.0
AI3 PiecePos-Analyzing_23,4.06,0.98,16.07,1.27,0.87,1.00,1.10,0.40,279.0570000000001,277.887753694581,1.0
AI3 PiecePos-Analyzing_14,3.96,1.01,16.04,1.29,0.88,1.02,1.09,0.40,278.25000000000006,277.887753694581,0.0
AI3 PiecePos-Analyzing_19,3.93,1.00,16.10,1.28,0.87,0.98,1.11,0.39,279.0370000000001,277.887753694581,0.0
AI3 PiecePos-Analyzing_12,3.99,1.00,16.07,1.29,0.86,1.00,1.09,0.40,278.80400000000003,277.887753694581,0.0
AI3 PiecePos-Analyzing_28,4.00,0.99,15.86,1.30,0.87,1.00,1.10,0.40,275.50600000000003,277.887753694581,1.0
AI3 PiecePos-Analyzing_30,3.97,0.98,15.83,1.28,0.87,1.01,1.13,0.40,274.913,277.887753694581,0.0
AI3 PiecePos-Analyzing_10,4.07,1.01,15.72,1.27,0.86,1.00,1.09,0.40,273.50800000000004,277.887753694581,1.0
AI3 PiecePos-Analyzing_6,4.06,0.98,15.97,1.28,0.85,1.01,1.08,0.40,277.442,277.887753694581,1.0
AI3 PiecePos-Analyzing_7,4.04,0.98,15.72,1.29,0.86,1.02,1.12,0.41,273.44100000000003,277.887753694581,1.0
AI3 PiecePos-Analyzing_27,3.97,0.99,16.28,1.29,0.88,1.01,1.08,0.40,282.08900000000006,277.887753694581,0.0
AI3 PiecePos-Analyzing_8,4.09,1.01,16.24,1.29,0.85,0.99,1.11,0.39,281.934,277.887753694581,1.0
