playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.27),weightRooksPos(0.12),weightQueenPos(1.99),weightCastlingBonus(1.86),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_44,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_41,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_92,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_7,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_76,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_123,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_147,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_64,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_157,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_28,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_185,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_97,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_183,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_55,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_13,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_117,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_119,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
AI3 PiecePos-Analyzing_156,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,1
AI3 PiecePos-Analyzing_35,4.00,1.00,16.00,1.30,0.27,0.12,1.99,1.86,282.19700000000006,279.29361582278494,0
