playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.27),weightRooksPos(0.12),weightQueenPos(1.99),weightCastlingBonus(1.86),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_44,4.04,1.01,16.10,1.29,0.79,1.00,1.08,0.41,279.6921000000001,280.8674962025317,0
AI3 PiecePos-Analyzing_41,4.05,1.00,16.17,1.31,0.79,1.01,1.12,0.40,280.9303,280.8674962025317,0
AI3 PiecePos-Analyzing_92,4.01,0.99,15.60,1.27,0.81,1.01,1.11,0.40,271.57380000000006,280.8674962025317,0
AI3 PiecePos-Analyzing_7,4.09,1.00,15.75,1.31,0.78,0.99,1.10,0.40,274.32540000000006,280.8674962025317,0
AI3 PiecePos-Analyzing_76,4.04,0.99,16.02,1.31,0.80,1.02,1.10,0.39,278.4258,280.8674962025317,0
AI3 PiecePos-Analyzing_123,4.01,0.99,15.92,1.28,0.78,0.99,1.11,0.41,276.71490000000006,280.8674962025317,1
AI3 PiecePos-Analyzing_147,4.08,1.00,16.03,1.33,0.81,1.02,1.11,0.40,278.8230000000001,280.8674962025317,0
AI3 PiecePos-Analyzing_64,4.07,1.00,16.20,1.32,0.79,1.01,1.09,0.40,281.44360000000006,280.8674962025317,0
AI3 PiecePos-Analyzing_157,4.09,0.98,16.11,1.30,0.80,1.01,1.09,0.39,280.02169999999995,280.8674962025317,1
AI3 PiecePos-Analyzing_28,4.09,1.00,15.63,1.31,0.81,1.02,1.13,0.40,272.4768,280.8674962025317,0
AI3 PiecePos-Analyzing_185,4.08,0.98,16.02,1.31,0.80,1.00,1.10,0.40,278.59200000000004,280.8674962025317,1
AI3 PiecePos-Analyzing_97,4.06,0.99,16.20,1.31,0.81,1.00,1.10,0.40,281.40470000000005,280.8674962025317,1
AI3 PiecePos-Analyzing_183,4.08,1.02,15.99,1.30,0.80,1.01,1.10,0.40,278.14020000000005,280.8674962025317,1
AI3 PiecePos-Analyzing_55,4.02,1.00,16.01,1.32,0.78,1.01,1.12,0.40,278.2606,280.8674962025317,1
AI3 PiecePos-Analyzing_13,4.06,1.02,15.71,1.33,0.81,0.99,1.07,0.41,273.57840000000004,280.8674962025317,1
AI3 PiecePos-Analyzing_117,4.07,0.99,16.14,1.30,0.79,1.00,1.08,0.40,280.42650000000003,280.8674962025317,1
AI3 PiecePos-Analyzing_119,4.10,1.02,16.02,1.27,0.82,1.00,1.11,0.39,278.66670000000005,280.8674962025317,1
AI3 PiecePos-Analyzing_156,4.02,1.01,15.70,1.32,0.80,1.01,1.12,0.41,273.33459999999997,280.8674962025317,0
AI3 PiecePos-Analyzing_35,4.09,0.99,16.30,1.28,0.81,0.98,1.08,0.40,283.04350000000005,280.8674962025317,1
AI3 PiecePos-Analyzing_50,4.10,1.00,15.87,1.27,0.79,0.99,1.12,0.40,276.27590000000004,280.8674962025317,0
AI3 PiecePos-Analyzing_135,4.05,0.98,16.00,1.31,0.79,1.02,1.08,0.39,278.0933,280.8674962025317,1
AI3 PiecePos-Analyzing_20,4.09,0.99,16.32,1.31,0.78,1.02,1.07,0.40,283.37930000000006,280.8674962025317,0
AI3 PiecePos-Analyzing_141,4.02,0.99,16.37,1.33,0.82,0.99,1.11,0.41,284.0307000000001,280.8674962025317,1
AI3 PiecePos-Analyzing_115,4.01,1.02,15.80,1.28,0.78,0.99,1.10,0.39,274.7678,280.8674962025317,0
AI3 PiecePos-Analyzing_187,4.00,1.00,16.13,1.28,0.79,1.01,1.10,0.40,280.0115,280.8674962025317,0
AI3 PiecePos-Analyzing_71,4.01,1.00,15.61,1.30,0.81,0.99,1.09,0.39,271.72200000000004,280.8674962025317,1
AI3 PiecePos-Analyzing_88,4.04,0.98,15.61,1.32,0.81,0.99,1.10,0.39,271.8679,280.8674962025317,0
AI3 PiecePos-Analyzing_42,4.00,0.99,16.23,1.27,0.80,0.98,1.08,0.39,281.5292,280.8674962025317,0
AI3 PiecePos-Analyzing_173,4.05,0.98,16.27,1.28,0.82,0.99,1.11,0.40,282.4571000000001,280.8674962025317,0
AI3 PiecePos-Analyzing_180,4.09,1.01,15.78,1.30,0.81,1.00,1.08,0.39,274.75329999999997,280.8674962025317,0
AI3 PiecePos-Analyzing_27,4.08,1.01,16.29,1.33,0.82,1.00,1.10,0.40,282.9734,280.8674962025317,0
AI3 PiecePos-Analyzing_14,4.02,1.02,16.35,1.28,0.79,0.98,1.08,0.40,283.58810000000005,280.8674962025317,0
AI3 PiecePos-Analyzing_80,4.04,0.98,16.28,1.33,0.80,0.98,1.12,0.41,282.674,280.8674962025317,1
AI3 PiecePos-Analyzing_199,4.09,0.99,15.72,1.28,0.78,0.98,1.10,0.41,273.8138,280.8674962025317,1
AI3 PiecePos-Analyzing_51,4.10,1.00,15.63,1.27,0.81,0.98,1.12,0.39,272.4215,280.8674962025317,0
AI3 PiecePos-Analyzing_152,4.10,0.98,15.97,1.31,0.78,0.99,1.12,0.41,277.9238,280.8674962025317,0
AI3 PiecePos-Analyzing_25,4.02,1.02,15.77,1.32,0.81,0.99,1.11,0.40,274.4264000000001,280.8674962025317,0
AI3 PiecePos-Analyzing_186,4.08,1.01,16.34,1.31,0.78,1.00,1.08,0.39,283.67819999999995,280.8674962025317,1
AI3 PiecePos-Analyzing_182,4.02,1.01,15.98,1.28,0.78,1.00,1.07,0.40,277.6379,280.8674962025317,0
AI3 PiecePos-Analyzing_144,4.05,1.01,15.96,1.29,0.80,1.01,1.09,0.41,277.51590000000004,280.8674962025317,0
AI3 PiecePos-Analyzing_67,4.05,1.02,15.91,1.29,0.82,1.01,1.12,0.40,276.7724,280.8674962025317,0.5
AI3 PiecePos-Analyzing_118,4.02,0.98,16.14,1.31,0.78,1.02,1.09,0.39,280.2305,280.8674962025317,1
AI3 PiecePos-Analyzing_85,4.09,1.01,16.09,1.28,0.82,1.01,1.09,0.39,279.7111,280.8674962025317,1
AI3 PiecePos-Analyzing_122,4.00,1.02,16.30,1.30,0.81,1.01,1.11,0.40,282.80280000000005,280.8674962025317,0
AI3 PiecePos-Analyzing_190,4.02,0.99,16.11,1.28,0.78,1.00,1.09,0.40,279.7377,280.8674962025317,0
AI3 PiecePos-Analyzing_162,4.01,1.00,16.34,1.28,0.79,0.99,1.08,0.39,283.3507,280.8674962025317,0
AI3 PiecePos-Analyzing_86,4.08,0.98,15.74,1.32,0.81,1.02,1.11,0.40,274.1500000000001,280.8674962025317,0
AI3 PiecePos-Analyzing_22,4.10,1.00,16.12,1.31,0.81,0.99,1.08,0.40,280.25370000000004,280.8674962025317,1
AI3 PiecePos-Analyzing_136,4.08,1.00,15.86,1.31,0.79,1.00,1.09,0.41,276.048,280.8674962025317,1
AI3 PiecePos-Analyzing_146,4.05,1.02,15.65,1.29,0.79,1.01,1.10,0.39,272.5459,280.8674962025317,1
AI3 PiecePos-Analyzing_200,4.04,0.98,16.28,1.29,0.78,0.98,1.07,0.40,282.49850000000004,280.8674962025317,1
AI3 PiecePos-Analyzing_106,4.09,1.02,16.10,1.27,0.79,1.01,1.13,0.40,279.95820000000003,280.8674962025317,1
AI3 PiecePos-Analyzing_56,4.05,1.00,15.83,1.31,0.81,0.99,1.12,0.40,275.49330000000003,280.8674962025317,0
AI3 PiecePos-Analyzing_46,4.09,0.99,16.08,1.29,0.78,0.98,1.12,0.40,279.608,280.8674962025317,1
