playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.23),weightRooksPos(0.69),weightQueenPos(2.04),weightCastlingBonus(0.75),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_161,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.2713000000001,279.4595201005013,1
AI3 PiecePos-Analyzing_89,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,273.0520000000001,279.4595201005013,1
AI3 PiecePos-Analyzing_40,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,275.1517,279.4595201005013,0
AI3 PiecePos-Analyzing_55,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,280.51820000000004,279.4595201005013,1
AI3 PiecePos-Analyzing_90,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,273.0982,279.4595201005013,0
AI3 PiecePos-Analyzing_143,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,276.21500000000003,279.4595201005013,0
AI3 PiecePos-Analyzing_66,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,277.83380000000005,279.4595201005013,1
AI3 PiecePos-Analyzing_13,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,280.6832,279.4595201005013,1
AI3 PiecePos-Analyzing_100,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,272.39930000000004,279.4595201005013,1
AI3 PiecePos-Analyzing_109,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,280.771,279.4595201005013,1
AI3 PiecePos-Analyzing_68,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,275.1525,279.4595201005013,0
AI3 PiecePos-Analyzing_108,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_31,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_117,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_184,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_52,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_62,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_126,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
AI3 PiecePos-Analyzing_61,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.9431,279.4595201005013,1
