playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.94,0.98,15.71,1.29,0.81,1.76,1.12,0.40,273.5770000000001,278.25183443708613,0.0
AI3 PiecePos-Analyzing_34,4.09,0.99,16.28,1.28,0.80,1.83,1.10,0.40,283.334,278.25183443708613,1.0
AI3 PiecePos-Analyzing_31,3.95,1.00,16.02,1.28,0.79,1.80,1.09,0.41,278.579,278.25183443708613,0.0
AI3 PiecePos-Analyzing_33,3.99,1.01,15.66,1.29,0.78,1.82,1.10,0.41,273.02500000000003,278.25183443708613,0.0
AI3 PiecePos-Analyzing_35,3.98,1.02,15.73,1.29,0.81,1.81,1.13,0.41,274.16200000000003,278.25183443708613,0.0
AI3 PiecePos-Analyzing_16,3.96,1.02,16.28,1.29,0.78,1.80,1.12,0.39,282.8290000000001,278.25183443708613,0.0
AI3 PiecePos-Analyzing_5,3.95,0.99,16.29,1.33,0.82,1.77,1.09,0.40,282.944,278.25183443708613,0.0
AI3 PiecePos-Analyzing_26,4.06,0.99,15.71,1.27,0.79,1.78,1.09,0.41,274.016,278.25183443708613,1.0
AI3 PiecePos-Analyzing_25,4.02,1.01,16.20,1.32,0.80,1.81,1.12,0.41,281.852,278.25183443708613,1.0
AI3 PiecePos-Analyzing_24,4.07,1.00,16.19,1.32,0.80,1.76,1.09,0.39,281.79100000000005,278.25183443708613,1.0
AI3 PiecePos-Analyzing_15,3.95,0.99,16.13,1.31,0.81,1.82,1.08,0.40,280.389,278.25183443708613,0.0
AI3 PiecePos-Analyzing_13,4.08,1.01,15.74,1.29,0.81,1.81,1.09,0.41,274.66800000000006,278.25183443708613,1.0
AI3 PiecePos-Analyzing_29,4.05,1.02,16.33,1.30,0.78,1.78,1.08,0.40,283.942,278.25183443708613,1.0
AI3 PiecePos-Analyzing_22,4.04,0.99,16.13,1.29,0.79,1.82,1.09,0.40,280.718,278.25183443708613,1.0
AI3 PiecePos-Analyzing_9,3.94,1.02,16.28,1.32,0.79,1.77,1.12,0.39,282.766,278.25183443708613,0.0
AI3 PiecePos-Analyzing_2,3.99,1.01,15.84,1.28,0.81,1.76,1.10,0.40,275.85200000000003,278.25183443708613,0.0
AI3 PiecePos-Analyzing_32,3.95,0.98,16.15,1.33,0.81,1.81,1.12,0.41,280.763,278.25183443708613,0.0
AI3 PiecePos-Analyzing_20,4.09,0.98,16.18,1.29,0.79,1.79,1.09,0.40,281.67800000000005,278.25183443708613,1.0
AI3 PiecePos-Analyzing_17,4.01,1.00,15.80,1.32,0.82,1.80,1.08,0.41,275.36400000000003,278.25183443708613,1.0
AI3 PiecePos-Analyzing_21,3.94,0.98,16.08,1.27,0.81,1.77,1.08,0.39,279.433,278.25183443708613,0.0
AI3 PiecePos-Analyzing_3,3.96,1.02,16.15,1.30,0.81,1.84,1.12,0.41,280.834,278.25183443708613,0.0
AI3 PiecePos-Analyzing_36,4.08,1.01,16.40,1.29,0.82,1.84,1.10,0.40,285.27299999999997,278.25183443708613,1.0
AI3 PiecePos-Analyzing_1,3.96,1.01,16.29,1.29,0.78,1.78,1.12,0.40,282.9630000000001,278.25183443708613,0.0
AI3 PiecePos-Analyzing_18,3.99,0.98,15.93,1.27,0.80,1.79,1.12,0.39,277.28900000000004,278.25183443708613,0.0
AI3 PiecePos-Analyzing_11,3.93,0.99,16.00,1.31,0.78,1.81,1.11,0.40,278.228,278.25183443708613,0.0
AI3 PiecePos-Analyzing_23,4.09,0.99,16.01,1.32,0.79,1.80,1.11,0.40,279.0390000000001,278.25183443708613,1.0
AI3 PiecePos-Analyzing_14,4.00,0.99,16.35,1.27,0.80,1.81,1.09,0.39,284.04600000000005,278.25183443708613,1.0
AI3 PiecePos-Analyzing_19,4.10,1.02,16.19,1.27,0.80,1.77,1.12,0.40,281.91300000000007,278.25183443708613,1.0
AI3 PiecePos-Analyzing_12,3.90,1.02,15.74,1.28,0.78,1.81,1.07,0.40,273.89500000000004,278.25183443708613,0.0
AI3 PiecePos-Analyzing_28,4.05,1.00,16.26,1.31,0.78,1.79,1.07,0.39,282.81000000000006,278.25183443708613,1.0
AI3 PiecePos-Analyzing_30,4.04,1.00,16.36,1.29,0.82,1.83,1.11,0.40,284.46400000000006,278.25183443708613,1.0
AI3 PiecePos-Analyzing_10,4.09,1.02,16.36,1.28,0.80,1.82,1.08,0.40,284.61199999999997,278.25183443708613,0.0
AI3 PiecePos-Analyzing_6,3.97,0.99,15.86,1.32,0.81,1.84,1.10,0.39,276.2,278.25183443708613,0.0
AI3 PiecePos-Analyzing_7,3.97,1.00,15.86,1.29,0.78,1.84,1.07,0.39,276.11400000000003,278.25183443708613,0.0
AI3 PiecePos-Analyzing_27,4.09,0.98,16.08,1.29,0.81,1.81,1.11,0.39,280.132,278.25183443708613,1.0
AI3 PiecePos-Analyzing_8,3.97,0.99,16.30,1.32,0.81,1.78,1.11,0.40,283.19500000000005,278.25183443708613,0.0
