playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.91,1.02,15.79,1.31,0.79,0.99,1.19,0.40,274.09400000000005,277.6430854870765,0.0
AI3 PiecePos-Analyzing_16,3.92,0.99,16.14,1.28,0.81,0.99,1.23,0.39,279.72100000000006,277.6430854870765,0.0
AI3 PiecePos-Analyzing_5,4.04,0.99,15.93,1.31,0.80,0.99,1.23,0.39,276.87199999999996,277.6430854870765,1.0
AI3 PiecePos-Analyzing_15,3.92,0.98,15.86,1.32,0.80,1.00,1.18,0.41,275.238,277.6430854870765,0.0
AI3 PiecePos-Analyzing_13,4.04,1.00,16.09,1.29,0.79,1.02,1.17,0.40,279.37600000000003,277.6430854870765,1.0
AI3 PiecePos-Analyzing_9,4.04,0.98,16.36,1.29,0.82,0.98,1.20,0.39,283.689,277.6430854870765,1.0
AI3 PiecePos-Analyzing_2,4.05,0.98,16.30,1.30,0.80,1.00,1.20,0.39,282.786,277.6430854870765,1.0
AI3 PiecePos-Analyzing_17,4.06,1.00,15.64,1.30,0.81,1.00,1.19,0.40,272.2870000000001,277.6430854870765,1.0
AI3 PiecePos-Analyzing_3,4.10,1.00,16.04,1.29,0.81,1.00,1.17,0.40,278.812,277.6430854870765,1.0
AI3 PiecePos-Analyzing_1,4.00,1.00,16.27,1.33,0.81,0.98,1.17,0.39,282.12,277.6430854870765,0.0
AI3 PiecePos-Analyzing_11,4.04,0.98,16.09,1.32,0.78,1.00,1.23,0.40,279.43300000000005,277.6430854870765,1.0
AI3 PiecePos-Analyzing_14,3.97,1.01,15.91,1.29,0.79,0.99,1.20,0.40,276.22900000000004,277.6430854870765,0.0
AI3 PiecePos-Analyzing_12,3.92,1.00,16.23,1.27,0.81,0.99,1.19,0.40,281.1180000000001,277.6430854870765,0.0
AI3 PiecePos-Analyzing_10,3.96,1.00,16.00,1.32,0.78,1.01,1.19,0.40,277.65900000000005,277.6430854870765,0.0
AI3 PiecePos-Analyzing_6,3.94,1.02,15.92,1.31,0.81,0.99,1.21,0.41,276.336,277.6430854870765,0.0
AI3 PiecePos-Analyzing_7,3.96,1.01,16.01,1.27,0.81,1.01,1.19,0.40,277.7880000000001,277.6430854870765,0.0
AI3 PiecePos-Analyzing_8,3.93,1.01,15.74,1.30,0.80,1.00,1.21,0.41,273.395,277.6430854870765,0.0
