playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.93,1.01,15.87,1.32,0.80,1.02,1.20,0.40,275.506,277.7736646825388,0.0
AI3 PiecePos-Analyzing_16,4.07,1.02,16.07,1.31,0.79,0.98,1.21,0.41,279.23,277.7736646825388,0.5
AI3 PiecePos-Analyzing_5,4.01,1.01,16.32,1.27,0.78,0.98,1.22,0.39,282.92300000000006,277.7736646825388,0.0
AI3 PiecePos-Analyzing_15,3.90,0.99,15.61,1.29,0.81,0.99,1.21,0.40,271.15600000000006,277.7736646825388,0.0
AI3 PiecePos-Analyzing_13,4.00,1.01,16.21,1.33,0.82,1.00,1.21,0.41,281.25,277.7736646825388,0.0
AI3 PiecePos-Analyzing_9,4.04,1.02,16.25,1.28,0.80,1.01,1.23,0.41,282.01099999999997,277.7736646825388,1.0
AI3 PiecePos-Analyzing_2,3.91,0.99,15.97,1.33,0.78,1.02,1.17,0.40,276.97,277.7736646825388,0.0
AI3 PiecePos-Analyzing_3,4.09,1.00,16.29,1.27,0.81,0.98,1.20,0.41,282.76300000000003,277.7736646825388,0.0
AI3 PiecePos-Analyzing_1,4.00,0.98,16.08,1.32,0.79,1.01,1.17,0.40,279.065,277.7736646825388,1.0
AI3 PiecePos-Analyzing_11,4.06,1.01,15.83,1.28,0.78,0.98,1.17,0.40,275.245,277.7736646825388,1.0
AI3 PiecePos-Analyzing_14,3.92,1.00,15.64,1.33,0.80,1.02,1.20,0.40,271.789,277.7736646825388,0.0
AI3 PiecePos-Analyzing_12,4.07,1.00,16.21,1.28,0.81,0.98,1.21,0.40,281.42300000000006,277.7736646825388,1.0
AI3 PiecePos-Analyzing_10,3.91,1.01,16.27,1.32,0.78,0.99,1.22,0.40,281.802,277.7736646825388,0.0
AI3 PiecePos-Analyzing_6,3.95,1.02,15.79,1.28,0.79,0.99,1.20,0.40,274.226,277.7736646825388,0.0
AI3 PiecePos-Analyzing_7,4.02,1.00,16.12,1.28,0.80,0.99,1.21,0.40,279.785,277.7736646825388,0.5
AI3 PiecePos-Analyzing_8,4.08,1.01,16.27,1.31,0.79,1.01,1.20,0.40,282.47499999999997,277.7736646825388,1.0
