playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.07,1.01,16.30,1.33,0.81,0.98,1.09,0.20,282.72600000000006,277.546658415841,0.0
AI3 PiecePos-Analyzing_5,4.05,1.00,15.61,1.31,0.80,1.02,1.08,0.20,271.5909999999999,277.546658415841,0.5
AI3 PiecePos-Analyzing_13,3.95,1.01,16.07,1.28,0.79,1.01,1.13,0.20,278.55899999999997,277.546658415841,0.0
AI3 PiecePos-Analyzing_9,4.07,0.99,16.21,1.30,0.78,1.00,1.12,0.20,281.25600000000003,277.546658415841,0.5
AI3 PiecePos-Analyzing_2,3.96,0.99,15.63,1.31,0.80,1.02,1.09,0.20,271.55199999999996,277.546658415841,0.0
AI3 PiecePos-Analyzing_3,3.95,1.00,16.20,1.32,0.78,1.00,1.10,0.20,280.63,277.546658415841,0.0
AI3 PiecePos-Analyzing_1,3.92,0.98,16.07,1.30,0.81,0.99,1.12,0.20,278.4200000000001,277.546658415841,0.0
AI3 PiecePos-Analyzing_11,4.10,1.01,16.00,1.29,0.78,1.00,1.07,0.20,277.9680000000001,277.546658415841,0.5
AI3 PiecePos-Analyzing_14,3.98,0.98,15.93,1.30,0.81,0.99,1.10,0.20,276.39799999999997,277.546658415841,0.0
AI3 PiecePos-Analyzing_12,3.95,1.02,15.70,1.27,0.80,0.99,1.11,0.20,272.602,277.546658415841,0.0
AI3 PiecePos-Analyzing_10,4.01,0.98,16.13,1.31,0.78,0.99,1.09,0.20,279.69599999999997,277.546658415841,0.0
AI3 PiecePos-Analyzing_6,3.90,1.00,15.98,1.33,0.79,1.01,1.12,0.20,276.963,277.546658415841,0.0
AI3 PiecePos-Analyzing_7,4.09,1.00,16.16,1.30,0.80,1.02,1.11,0.20,280.57099999999997,277.546658415841,0.5
AI3 PiecePos-Analyzing_8,4.02,0.98,15.62,1.31,0.79,0.99,1.13,0.20,271.62799999999993,277.546658415841,1.0
