playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.01,1.01,15.91,1.32,0.79,0.99,1.10,0.59,276.394,277.66909999999996,1.0
AI3 PiecePos-Analyzing_34,4.09,0.99,16.06,1.28,0.80,1.01,1.07,0.59,279.037,277.66909999999996,1.0
AI3 PiecePos-Analyzing_31,4.09,1.01,16.30,1.33,0.81,1.02,1.10,0.61,283.021,277.66909999999996,0.5
AI3 PiecePos-Analyzing_33,3.93,0.98,15.64,1.27,0.79,0.98,1.09,0.60,271.64200000000005,277.66909999999996,0.0
AI3 PiecePos-Analyzing_35,4.03,1.02,16.33,1.31,0.82,0.98,1.08,0.61,283.191,277.66909999999996,0.0
AI3 PiecePos-Analyzing_16,3.93,1.02,16.03,1.28,0.80,1.00,1.08,0.61,277.956,277.66909999999996,0.0
AI3 PiecePos-Analyzing_5,3.93,1.02,16.30,1.32,0.79,1.00,1.08,0.60,282.31600000000003,277.66909999999996,0.0
AI3 PiecePos-Analyzing_26,3.93,1.02,15.61,1.32,0.79,1.02,1.09,0.60,271.307,277.66909999999996,0.0
AI3 PiecePos-Analyzing_25,4.06,0.99,16.32,1.27,0.78,1.01,1.12,0.61,283.1110000000001,277.66909999999996,0.0
AI3 PiecePos-Analyzing_24,3.92,0.99,15.91,1.33,0.79,1.02,1.11,0.60,276.072,277.66909999999996,0.0
AI3 PiecePos-Analyzing_15,4.04,0.99,16.31,1.31,0.82,0.98,1.11,0.61,282.914,277.66909999999996,1.0
AI3 PiecePos-Analyzing_13,3.94,1.02,15.94,1.28,0.79,1.00,1.13,0.61,276.603,277.66909999999996,0.0
AI3 PiecePos-Analyzing_29,4.08,1.00,15.83,1.27,0.80,1.02,1.09,0.60,275.35,277.66909999999996,1.0
AI3 PiecePos-Analyzing_22,4.01,0.99,15.73,1.31,0.79,1.00,1.11,0.60,273.506,277.66909999999996,0.5
AI3 PiecePos-Analyzing_9,4.07,1.01,16.12,1.31,0.80,0.98,1.11,0.61,279.99800000000005,277.66909999999996,0.0
AI3 PiecePos-Analyzing_2,3.91,1.01,15.69,1.30,0.79,1.00,1.09,0.59,272.447,277.66909999999996,0.0
AI3 PiecePos-Analyzing_32,4.08,1.01,15.85,1.29,0.79,0.99,1.10,0.60,275.67900000000003,277.66909999999996,0.0
AI3 PiecePos-Analyzing_20,3.92,1.00,16.06,1.31,0.82,0.98,1.09,0.61,278.422,277.66909999999996,0.0
AI3 PiecePos-Analyzing_17,3.93,1.01,15.87,1.29,0.79,1.00,1.11,0.59,275.416,277.66909999999996,0.0
AI3 PiecePos-Analyzing_21,4.00,1.00,16.19,1.29,0.82,0.98,1.10,0.61,280.8070000000001,277.66909999999996,0.0
AI3 PiecePos-Analyzing_3,4.05,0.98,15.79,1.28,0.80,0.99,1.09,0.61,274.557,277.66909999999996,0.5
AI3 PiecePos-Analyzing_1,3.94,0.99,15.91,1.31,0.80,0.98,1.09,0.61,276.076,277.66909999999996,0.0
AI3 PiecePos-Analyzing_18,4.03,0.98,16.22,1.29,0.79,1.00,1.10,0.60,281.379,277.66909999999996,1.0
AI3 PiecePos-Analyzing_11,3.97,1.00,15.65,1.33,0.82,0.99,1.11,0.60,272.11600000000004,277.66909999999996,0.0
AI3 PiecePos-Analyzing_23,4.03,1.01,15.69,1.31,0.82,1.01,1.09,0.61,272.982,277.66909999999996,1.0
AI3 PiecePos-Analyzing_14,4.01,1.00,15.70,1.28,0.79,0.99,1.12,0.60,272.99800000000005,277.66909999999996,1.0
AI3 PiecePos-Analyzing_19,3.96,1.02,16.27,1.33,0.78,1.01,1.12,0.59,282.011,277.66909999999996,0.0
AI3 PiecePos-Analyzing_12,3.96,1.01,16.16,1.30,0.79,0.99,1.12,0.61,280.1980000000001,277.66909999999996,0.0
AI3 PiecePos-Analyzing_28,4.02,1.02,15.69,1.27,0.79,0.98,1.10,0.60,272.853,277.66909999999996,1.0
AI3 PiecePos-Analyzing_30,4.07,1.02,16.25,1.28,0.82,1.00,1.09,0.60,282.059,277.66909999999996,0.5
AI3 PiecePos-Analyzing_10,4.02,1.00,16.31,1.30,0.80,1.00,1.12,0.59,282.83799999999997,277.66909999999996,1.0
AI3 PiecePos-Analyzing_6,3.96,0.99,16.00,1.28,0.80,1.00,1.09,0.60,277.573,277.66909999999996,0.0
AI3 PiecePos-Analyzing_7,4.06,0.99,16.28,1.31,0.79,1.02,1.11,0.60,282.526,277.66909999999996,1.0
AI3 PiecePos-Analyzing_27,4.06,1.01,15.99,1.31,0.78,1.02,1.08,0.59,277.861,277.66909999999996,1.0
AI3 PiecePos-Analyzing_8,3.96,0.98,16.02,1.29,0.79,1.00,1.12,0.59,277.91700000000003,277.66909999999996,0.0
