playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.09,1.02,15.60,1.31,0.86,1.02,1.10,0.40,271.76099999999997,277.7879199999996,0.0
AI3 PiecePos-Analyzing_16,4.07,1.00,15.71,1.31,0.87,1.02,1.08,0.40,273.407,277.7879199999996,0.5
AI3 PiecePos-Analyzing_5,3.98,1.01,15.86,1.28,0.85,1.01,1.09,0.40,275.403,277.7879199999996,0.0
AI3 PiecePos-Analyzing_26,4.03,0.99,16.29,1.28,0.87,0.99,1.07,0.41,282.44100000000003,277.7879199999996,0.0
AI3 PiecePos-Analyzing_25,4.06,1.01,16.30,1.32,0.89,0.98,1.09,0.41,282.821,277.7879199999996,1.0
AI3 PiecePos-Analyzing_24,3.92,1.02,15.77,1.32,0.85,0.99,1.10,0.40,273.776,277.7879199999996,0.0
AI3 PiecePos-Analyzing_15,4.05,1.02,16.27,1.28,0.88,1.00,1.07,0.41,282.24899999999997,277.7879199999996,1.0
AI3 PiecePos-Analyzing_13,3.94,0.99,15.74,1.27,0.86,1.02,1.12,0.39,273.33700000000005,277.7879199999996,0.0
AI3 PiecePos-Analyzing_29,4.08,0.98,16.28,1.31,0.88,1.01,1.08,0.41,282.549,277.7879199999996,1.0
AI3 PiecePos-Analyzing_22,4.03,0.98,16.15,1.27,0.87,1.02,1.09,0.39,280.22200000000004,277.7879199999996,1.0
AI3 PiecePos-Analyzing_9,4.07,1.01,16.28,1.27,0.87,0.99,1.11,0.40,282.4880000000001,277.7879199999996,0.5
AI3 PiecePos-Analyzing_2,3.96,1.02,16.19,1.28,0.88,1.02,1.08,0.39,280.632,277.7879199999996,0.0
AI3 PiecePos-Analyzing_20,4.00,1.02,15.60,1.27,0.86,0.98,1.10,0.40,271.309,277.7879199999996,0.5
AI3 PiecePos-Analyzing_17,4.04,1.00,16.17,1.28,0.87,0.99,1.07,0.41,280.5710000000001,277.7879199999996,0.5
AI3 PiecePos-Analyzing_21,3.94,1.02,15.68,1.31,0.86,0.98,1.11,0.40,272.412,277.7879199999996,0.0
AI3 PiecePos-Analyzing_3,3.93,0.98,16.12,1.28,0.86,1.02,1.11,0.41,279.37699999999995,277.7879199999996,0.0
AI3 PiecePos-Analyzing_1,3.98,1.01,15.87,1.31,0.86,1.00,1.08,0.41,275.5929999999999,277.7879199999996,0.0
AI3 PiecePos-Analyzing_18,4.05,1.02,15.85,1.28,0.86,1.00,1.12,0.39,275.56,277.7879199999996,0.5
AI3 PiecePos-Analyzing_11,4.00,1.00,15.94,1.28,0.85,1.01,1.10,0.40,276.76399999999995,277.7879199999996,0.0
AI3 PiecePos-Analyzing_23,4.01,1.01,15.62,1.27,0.85,1.02,1.10,0.41,271.69499999999994,277.7879199999996,1.0
AI3 PiecePos-Analyzing_14,4.03,1.01,16.03,1.27,0.89,0.99,1.10,0.39,278.329,277.7879199999996,1.0
AI3 PiecePos-Analyzing_19,4.09,1.02,16.20,1.29,0.85,1.01,1.12,0.40,281.33900000000006,277.7879199999996,0.5
AI3 PiecePos-Analyzing_12,4.00,1.01,16.18,1.29,0.87,1.00,1.09,0.40,280.62200000000007,277.7879199999996,1.0
AI3 PiecePos-Analyzing_28,3.96,1.00,15.74,1.28,0.85,1.00,1.07,0.40,273.36100000000005,277.7879199999996,0.0
AI3 PiecePos-Analyzing_30,3.92,1.00,16.36,1.29,0.88,0.99,1.13,0.39,283.21000000000004,277.7879199999996,0.0
AI3 PiecePos-Analyzing_10,3.97,1.02,15.77,1.32,0.85,0.98,1.09,0.40,273.95500000000004,277.7879199999996,0.0
AI3 PiecePos-Analyzing_6,4.03,0.99,15.82,1.30,0.88,1.00,1.12,0.40,275.0160000000001,277.7879199999996,0.0
AI3 PiecePos-Analyzing_7,3.93,0.98,16.29,1.28,0.86,0.98,1.13,0.40,282.075,277.7879199999996,0.0
AI3 PiecePos-Analyzing_27,3.94,1.00,16.14,1.30,0.89,1.02,1.07,0.41,279.763,277.7879199999996,0.0
AI3 PiecePos-Analyzing_8,4.10,0.98,15.87,1.33,0.87,0.99,1.12,0.40,276.1070000000001,277.7879199999996,1.0
