playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.07,1.02,15.99,1.27,2.01,1.02,1.07,0.40,278.75600000000003,278.1532600000002,1.0
AI3 PiecePos-Analyzing_31,4.10,0.99,16.26,1.32,1.98,1.02,1.10,0.40,283.24,278.1532600000002,1.0
AI3 PiecePos-Analyzing_16,4.07,1.01,15.87,1.29,1.98,1.01,1.09,0.40,276.84000000000003,278.1532600000002,1.0
AI3 PiecePos-Analyzing_5,3.95,1.01,16.07,1.29,2.00,1.01,1.10,0.40,279.58700000000005,278.1532600000002,0.0
AI3 PiecePos-Analyzing_26,3.92,0.99,16.01,1.30,2.00,1.02,1.10,0.39,278.50600000000003,278.1532600000002,0.0
AI3 PiecePos-Analyzing_25,3.96,1.01,16.27,1.31,1.96,1.02,1.11,0.40,282.842,278.1532600000002,0.0
AI3 PiecePos-Analyzing_24,4.08,1.00,15.64,1.32,2.00,1.01,1.08,0.39,273.23,278.1532600000002,1.0
AI3 PiecePos-Analyzing_15,4.07,1.01,16.00,1.32,2.01,0.98,1.08,0.40,278.94200000000006,278.1532600000002,1.0
AI3 PiecePos-Analyzing_13,4.00,1.00,16.15,1.31,1.98,1.00,1.08,0.40,281.03499999999997,278.1532600000002,0.0
AI3 PiecePos-Analyzing_29,3.95,1.02,16.25,1.27,1.97,0.98,1.12,0.39,282.4150000000001,278.1532600000002,0.0
AI3 PiecePos-Analyzing_22,4.06,1.02,16.21,1.30,1.99,0.98,1.12,0.39,282.27000000000004,278.1532600000002,1.0
AI3 PiecePos-Analyzing_9,3.93,0.99,15.93,1.27,2.01,1.00,1.08,0.40,277.197,278.1532600000002,0.0
AI3 PiecePos-Analyzing_2,3.98,1.01,15.70,1.27,2.01,1.01,1.12,0.40,273.79100000000005,278.1532600000002,0.0
AI3 PiecePos-Analyzing_20,3.99,1.02,16.16,1.27,2.01,0.99,1.11,0.40,281.1700000000001,278.1532600000002,0.0
AI3 PiecePos-Analyzing_17,4.03,0.99,15.97,1.27,2.02,0.99,1.07,0.39,278.22,278.1532600000002,1.0
AI3 PiecePos-Analyzing_21,4.06,1.01,15.90,1.31,1.96,1.00,1.12,0.40,277.313,278.1532600000002,1.0
AI3 PiecePos-Analyzing_3,4.00,0.98,15.96,1.31,1.96,1.01,1.12,0.40,278.01300000000003,278.1532600000002,1.0
AI3 PiecePos-Analyzing_1,4.03,1.01,16.17,1.29,1.96,1.00,1.09,0.39,281.45000000000005,278.1532600000002,1.0
AI3 PiecePos-Analyzing_18,3.91,1.02,16.23,1.27,2.00,1.00,1.09,0.39,281.9460000000001,278.1532600000002,0.0
AI3 PiecePos-Analyzing_11,3.92,0.99,16.04,1.29,1.97,0.99,1.09,0.41,278.91600000000005,278.1532600000002,0.0
AI3 PiecePos-Analyzing_23,3.95,0.99,15.99,1.29,1.95,0.99,1.09,0.40,278.21600000000007,278.1532600000002,0.0
AI3 PiecePos-Analyzing_14,3.95,0.99,16.38,1.28,2.01,1.00,1.07,0.39,284.475,278.1532600000002,0.0
AI3 PiecePos-Analyzing_19,4.09,0.98,16.05,1.28,1.97,0.99,1.10,0.39,279.736,278.1532600000002,1.0
AI3 PiecePos-Analyzing_12,3.98,1.02,16.13,1.28,1.95,0.98,1.10,0.41,280.59799999999996,278.1532600000002,0.0
AI3 PiecePos-Analyzing_28,3.98,1.00,16.23,1.30,2.01,1.00,1.11,0.40,282.27900000000005,278.1532600000002,0.0
AI3 PiecePos-Analyzing_30,4.02,1.00,16.21,1.30,1.99,0.98,1.13,0.41,282.109,278.1532600000002,1.0
AI3 PiecePos-Analyzing_10,4.01,1.02,15.94,1.27,1.95,1.00,1.09,0.40,277.67,278.1532600000002,1.0
AI3 PiecePos-Analyzing_6,4.04,1.01,16.02,1.27,1.96,1.02,1.09,0.40,279.088,278.1532600000002,1.0
AI3 PiecePos-Analyzing_7,4.08,1.00,15.82,1.28,1.94,1.01,1.11,0.41,276.051,278.1532600000002,1.0
AI3 PiecePos-Analyzing_27,3.92,0.98,15.79,1.30,1.96,0.99,1.08,0.39,274.892,278.1532600000002,0.0
AI3 PiecePos-Analyzing_8,4.04,0.98,16.06,1.30,1.95,0.99,1.11,0.41,279.72499999999997,278.1532600000002,1.0
