playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.42),weightRooksPos(0.91),weightQueenPos(1.78),weightCastlingBonus(1.41),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_75,4.04,1.00,16.32,1.31,0.82,0.99,1.10,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_196,3.98,1.00,16.19,1.27,0.81,0.99,1.12,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_101,3.94,0.99,15.60,1.27,0.80,1.02,1.10,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_195,4.00,1.00,16.24,1.27,0.78,1.01,1.10,0.39,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_148,3.91,1.02,15.69,1.33,0.78,1.01,1.08,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_137,3.93,1.00,16.10,1.29,0.82,0.99,1.09,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_58,4.00,1.01,15.96,1.33,0.82,0.98,1.12,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_39,3.90,1.00,15.82,1.30,0.79,1.00,1.13,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_65,4.00,1.02,15.77,1.30,0.80,0.99,1.10,0.39,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_149,3.92,1.01,15.89,1.30,0.79,0.99,1.11,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_9,3.96,0.99,15.90,1.30,0.82,1.01,1.08,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_41,3.92,0.99,15.74,1.30,0.79,0.99,1.08,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_63,3.98,0.98,16.15,1.29,0.81,1.01,1.10,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_92,3.91,0.99,16.36,1.30,0.82,0.98,1.11,0.39,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_179,3.96,0.98,16.24,1.33,0.78,1.00,1.08,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_165,3.99,0.98,15.96,1.28,0.78,1.02,1.09,0.39,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_7,3.99,0.98,16.39,1.31,0.78,1.01,1.10,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_76,3.94,0.99,16.17,1.32,0.80,1.02,1.11,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_174,4.02,1.01,15.90,1.28,0.80,1.02,1.08,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_54,3.99,0.98,15.94,1.33,0.80,1.00,1.11,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_47,3.95,1.02,16.39,1.28,0.80,0.98,1.11,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_123,4.05,1.01,16.19,1.30,0.82,0.99,1.11,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_147,4.08,0.99,15.72,1.32,0.81,1.00,1.08,0.39,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_155,3.91,1.00,15.73,1.30,0.79,1.01,1.11,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_64,4.00,0.98,15.65,1.32,0.78,1.01,1.09,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_157,4.02,1.00,16.11,1.30,0.81,0.99,1.09,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_102,4.01,0.99,16.07,1.28,0.79,1.00,1.11,0.39,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_93,3.94,1.02,15.84,1.29,0.80,0.98,1.07,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_103,4.06,1.01,15.89,1.33,0.80,0.99,1.12,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_74,3.99,0.99,15.66,1.27,0.79,0.98,1.12,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_120,3.95,1.00,16.08,1.31,0.81,1.00,1.10,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_132,3.92,1.02,15.79,1.31,0.82,1.02,1.10,0.39,280.851,279.6894272727277,0
AI3 PiecePos-Analyzing_150,3.99,1.02,15.99,1.33,0.82,1.01,1.13,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_32,3.93,0.98,16.00,1.33,0.82,1.00,1.11,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_169,4.07,1.02,15.71,1.28,0.78,0.99,1.09,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_37,4.07,1.01,15.68,1.32,0.80,1.01,1.12,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_133,4.02,0.98,16.37,1.31,0.81,0.98,1.08,0.41,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_154,3.94,0.99,15.80,1.28,0.81,1.00,1.11,0.40,280.851,279.6894272727277,1
AI3 PiecePos-Analyzing_189,3.97,0.98,15.61,1.30,0.80,0.99,1.09,0.40,280.851,279.6894272727277,1
