playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.24),weightRooksPos(0.35),weightQueenPos(1.60),weightCastlingBonus(0.96),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_75,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.6705,277.8377304597698,0
AI3 PiecePos-Analyzing_44,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,276.14609999999993,277.8377304597698,1
AI3 PiecePos-Analyzing_196,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,273.1856,277.8377304597698,0
AI3 PiecePos-Analyzing_195,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,282.84909999999996,277.8377304597698,1
AI3 PiecePos-Analyzing_148,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.04900000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_121,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.1645,277.8377304597698,0
AI3 PiecePos-Analyzing_137,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.14630000000005,277.8377304597698,1
AI3 PiecePos-Analyzing_58,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.67830000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_65,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.0734,277.8377304597698,1
AI3 PiecePos-Analyzing_149,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,282.3301,277.8377304597698,1
AI3 PiecePos-Analyzing_60,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.54040000000003,277.8377304597698,0
AI3 PiecePos-Analyzing_9,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,282.5546,277.8377304597698,0
AI3 PiecePos-Analyzing_41,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.1443,277.8377304597698,0
AI3 PiecePos-Analyzing_92,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,275.92449999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_165,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,279.2003,277.8377304597698,0
AI3 PiecePos-Analyzing_76,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,279.24410000000006,277.8377304597698,1
AI3 PiecePos-Analyzing_174,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,274.5701,277.8377304597698,1
AI3 PiecePos-Analyzing_54,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.089,277.8377304597698,0
AI3 PiecePos-Analyzing_47,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.44220000000007,277.8377304597698,1
AI3 PiecePos-Analyzing_123,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,274.8536,277.8377304597698,1
AI3 PiecePos-Analyzing_147,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,281.7524,277.8377304597698,1
AI3 PiecePos-Analyzing_114,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.24940000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_91,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.88779999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_155,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.2316,277.8377304597698,0
AI3 PiecePos-Analyzing_1,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.5375,277.8377304597698,0
AI3 PiecePos-Analyzing_34,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,275.49840000000006,277.8377304597698,0
AI3 PiecePos-Analyzing_103,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,279.0977,277.8377304597698,0
AI3 PiecePos-Analyzing_3,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.40459999999996,277.8377304597698,0
AI3 PiecePos-Analyzing_70,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.0965,277.8377304597698,0
AI3 PiecePos-Analyzing_132,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,283.48760000000004,277.8377304597698,0
AI3 PiecePos-Analyzing_131,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,281.4345,277.8377304597698,0
AI3 PiecePos-Analyzing_150,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.94079999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_32,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,274.67449999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_37,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.8171,277.8377304597698,1
AI3 PiecePos-Analyzing_151,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.67229999999995,277.8377304597698,1
AI3 PiecePos-Analyzing_133,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.1422999999999,277.8377304597698,1
AI3 PiecePos-Analyzing_82,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.9701,277.8377304597698,1
AI3 PiecePos-Analyzing_189,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.1056,277.8377304597698,0
AI3 PiecePos-Analyzing_194,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.13160000000005,277.8377304597698,0
AI3 PiecePos-Analyzing_30,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.76120000000003,277.8377304597698,1
AI3 PiecePos-Analyzing_181,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,271.85200000000003,277.8377304597698,1
AI3 PiecePos-Analyzing_28,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.9440000000001,277.8377304597698,1
AI3 PiecePos-Analyzing_188,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.34939999999995,277.8377304597698,0
AI3 PiecePos-Analyzing_178,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,283.76840000000004,277.8377304597698,0
AI3 PiecePos-Analyzing_185,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.2706,277.8377304597698,0
AI3 PiecePos-Analyzing_97,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,283.321,277.8377304597698,1
AI3 PiecePos-Analyzing_89,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.7595,277.8377304597698,0
AI3 PiecePos-Analyzing_176,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,273.48780000000005,277.8377304597698,0
AI3 PiecePos-Analyzing_40,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,273.0465,277.8377304597698,0
AI3 PiecePos-Analyzing_55,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,276.26189999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_66,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,275.05749999999995,277.8377304597698,0
AI3 PiecePos-Analyzing_13,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,282.96989999999994,277.8377304597698,0
AI3 PiecePos-Analyzing_100,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.76709999999997,277.8377304597698,0
AI3 PiecePos-Analyzing_68,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,274.0317,277.8377304597698,1
AI3 PiecePos-Analyzing_108,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,281.9857999999999,277.8377304597698,0
AI3 PiecePos-Analyzing_191,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,275.28049999999996,277.8377304597698,1
AI3 PiecePos-Analyzing_31,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,273.1028,277.8377304597698,0
AI3 PiecePos-Analyzing_117,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,275.5625,277.8377304597698,1
AI3 PiecePos-Analyzing_73,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,284.15439999999995,277.8377304597698,1
AI3 PiecePos-Analyzing_184,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,279.79240000000004,277.8377304597698,0
AI3 PiecePos-Analyzing_52,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,281.64020000000005,277.8377304597698,1
AI3 PiecePos-Analyzing_62,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.2097,277.8377304597698,1
AI3 PiecePos-Analyzing_126,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.51849999999996,277.8377304597698,1
AI3 PiecePos-Analyzing_61,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.6109,277.8377304597698,0
AI3 PiecePos-Analyzing_72,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,283.66810000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_129,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,281.9613,277.8377304597698,0
AI3 PiecePos-Analyzing_111,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,272.95129999999995,277.8377304597698,0
AI3 PiecePos-Analyzing_57,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,276.979,277.8377304597698,1
AI3 PiecePos-Analyzing_116,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,275.88230000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_107,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.6484999999999,277.8377304597698,0
AI3 PiecePos-Analyzing_5,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.7579,277.8377304597698,0
AI3 PiecePos-Analyzing_81,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,283.27200000000005,277.8377304597698,0
AI3 PiecePos-Analyzing_119,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,273.198,277.8377304597698,1
AI3 PiecePos-Analyzing_197,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,282.9415,277.8377304597698,0
AI3 PiecePos-Analyzing_156,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,283.7717999999999,277.8377304597698,1
AI3 PiecePos-Analyzing_83,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,276.05409999999995,277.8377304597698,0
AI3 PiecePos-Analyzing_35,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,280.6579,277.8377304597698,0
AI3 PiecePos-Analyzing_50,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,277.72800000000007,277.8377304597698,0
