playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.24),weightRooksPos(0.35),weightQueenPos(1.60),weightCastlingBonus(0.96),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_75,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_44,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_196,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_101,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_195,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_148,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_121,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_137,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_58,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_39,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_65,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_149,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_60,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_9,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_41,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_69,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_63,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_92,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_179,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_16,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_165,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_7,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_76,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_174,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_54,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_47,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_123,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_147,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_114,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_91,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_155,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_64,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_1,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_157,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_102,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_93,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_103,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_3,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_70,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_74,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_120,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_132,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_131,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_150,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_32,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
AI3 PiecePos-Analyzing_169,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,0
AI3 PiecePos-Analyzing_37,4.00,1.00,16.00,1.30,0.24,0.35,1.60,0.96,278.3517,277.9742772988501,1
