playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.24),weightRooksPos(0.35),weightQueenPos(1.60),weightCastlingBonus(0.96),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_75,3.93,1.00,16.22,1.32,0.80,0.99,1.12,0.40,280.6705,277.8377304597698,0
AI3 PiecePos-Analyzing_44,4.09,1.01,15.90,1.28,0.79,0.99,1.12,0.40,276.14609999999993,277.8377304597698,1
AI3 PiecePos-Analyzing_196,3.93,1.00,15.76,1.29,0.79,0.98,1.07,0.40,273.1856,277.8377304597698,0
AI3 PiecePos-Analyzing_101,4.04,1.02,16.33,1.29,0.79,0.99,1.12,0.40,282.84909999999996,277.8377304597698,1
AI3 PiecePos-Analyzing_195,4.08,1.00,16.02,1.32,0.80,1.02,1.10,0.40,278.04900000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_148,3.99,1.01,15.99,1.29,0.79,1.01,1.10,0.39,277.1645,277.8377304597698,0
AI3 PiecePos-Analyzing_121,4.01,1.00,16.17,1.27,0.82,0.99,1.13,0.40,280.14630000000005,277.8377304597698,1
AI3 PiecePos-Analyzing_137,4.05,0.99,16.07,1.30,0.78,1.01,1.09,0.41,278.67830000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_58,4.02,0.99,15.60,1.30,0.81,0.98,1.12,0.40,271.0734,277.8377304597698,1
AI3 PiecePos-Analyzing_39,4.09,1.01,16.29,1.29,0.78,1.01,1.08,0.39,282.3301,277.8377304597698,1
AI3 PiecePos-Analyzing_65,3.94,0.98,16.09,1.29,0.80,1.02,1.10,0.39,278.54040000000003,277.8377304597698,0
AI3 PiecePos-Analyzing_149,3.92,1.01,16.34,1.32,0.79,0.98,1.12,0.40,282.5546,277.8377304597698,0
AI3 PiecePos-Analyzing_60,3.96,1.01,15.62,1.31,0.82,0.99,1.09,0.40,271.1443,277.8377304597698,0
AI3 PiecePos-Analyzing_9,4.02,1.01,15.90,1.32,0.79,0.99,1.13,0.39,275.92449999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_41,3.97,1.00,16.12,1.30,0.82,1.01,1.11,0.40,279.2003,277.8377304597698,0
AI3 PiecePos-Analyzing_69,4.07,1.01,16.10,1.30,0.79,0.99,1.09,0.40,279.24410000000006,277.8377304597698,1
AI3 PiecePos-Analyzing_63,4.10,0.99,15.80,1.32,0.79,0.99,1.09,0.40,274.5701,277.8377304597698,1
AI3 PiecePos-Analyzing_92,3.92,0.98,16.00,1.32,0.79,1.02,1.12,0.39,277.089,277.8377304597698,0
AI3 PiecePos-Analyzing_179,4.06,0.99,16.18,1.27,0.78,1.00,1.10,0.40,280.44220000000007,277.8377304597698,1
AI3 PiecePos-Analyzing_16,4.09,0.98,15.82,1.33,0.78,0.98,1.10,0.39,274.8536,277.8377304597698,1
AI3 PiecePos-Analyzing_165,4.09,1.01,16.25,1.33,0.80,0.98,1.09,0.39,281.7524,277.8377304597698,1
AI3 PiecePos-Analyzing_7,4.03,0.99,16.17,1.30,0.81,0.98,1.13,0.40,280.24940000000004,277.8377304597698,1
AI3 PiecePos-Analyzing_76,4.07,1.01,15.70,1.28,0.81,1.02,1.13,0.39,272.88779999999997,277.8377304597698,1
AI3 PiecePos-Analyzing_174,3.92,1.01,16.07,1.31,0.80,1.02,1.11,0.41,278.2316,277.8377304597698,0
AI3 PiecePos-Analyzing_54,3.94,0.98,15.71,1.32,0.80,1.01,1.12,0.40,272.5375,277.8377304597698,0
AI3 PiecePos-Analyzing_47,3.99,0.98,15.89,1.27,0.80,1.02,1.09,0.39,275.49840000000006,277.8377304597698,0
AI3 PiecePos-Analyzing_123,3.91,1.02,16.13,1.28,0.82,0.99,1.11,0.39,279.0977,277.8377304597698,0
AI3 PiecePos-Analyzing_147,3.93,0.98,16.08,1.32,0.79,0.98,1.12,0.40,278.40459999999996,277.8377304597698,0
AI3 PiecePos-Analyzing_114,3.94,1.01,16.06,1.29,0.80,1.01,1.10,0.40,278.0965,277.8377304597698,0
AI3 PiecePos-Analyzing_91,3.93,1.00,16.40,1.32,0.79,1.00,1.08,0.40,283.48760000000004,277.8377304597698,0
AI3 PiecePos-Analyzing_155,3.97,0.99,16.26,1.30,0.80,0.99,1.12,0.40,281.4345,277.8377304597698,0
