playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.94,1.00,15.78,1.27,0.89,0.99,1.09,0.40,273.95200000000006,277.97674626865637,0.0
AI3 PiecePos-Analyzing_16,3.98,0.99,15.69,1.29,0.85,0.98,1.08,0.40,272.63500000000005,277.97674626865637,0.0
AI3 PiecePos-Analyzing_5,3.95,0.99,16.23,1.32,0.86,1.02,1.11,0.40,281.27500000000003,277.97674626865637,0.0
AI3 PiecePos-Analyzing_15,3.94,1.01,16.21,1.29,0.88,0.98,1.11,0.40,280.87200000000007,277.97674626865637,0.0
AI3 PiecePos-Analyzing_13,3.95,0.98,15.88,1.31,0.86,0.99,1.08,0.40,275.589,277.97674626865637,0.0
AI3 PiecePos-Analyzing_9,3.93,1.02,15.96,1.29,0.88,1.01,1.08,0.41,276.843,277.97674626865637,0.0
AI3 PiecePos-Analyzing_2,4.05,1.00,16.24,1.27,0.86,0.99,1.12,0.40,281.761,277.97674626865637,1.0
AI3 PiecePos-Analyzing_17,3.92,1.01,15.73,1.27,0.86,0.99,1.10,0.39,273.065,277.97674626865637,0.0
AI3 PiecePos-Analyzing_3,4.03,0.99,15.92,1.27,0.87,1.00,1.13,0.41,276.584,277.97674626865637,0.0
AI3 PiecePos-Analyzing_1,3.99,1.02,16.29,1.27,0.86,0.99,1.11,0.41,282.334,277.97674626865637,0.0
AI3 PiecePos-Analyzing_18,3.97,1.02,16.28,1.27,0.87,1.01,1.11,0.41,282.122,277.97674626865637,0.0
AI3 PiecePos-Analyzing_11,3.96,1.01,15.72,1.33,0.87,0.99,1.08,0.39,273.129,277.97674626865637,0.0
AI3 PiecePos-Analyzing_14,4.08,1.01,15.78,1.30,0.87,1.02,1.10,0.39,274.582,277.97674626865637,0.0
AI3 PiecePos-Analyzing_19,4.04,0.98,15.66,1.29,0.88,1.00,1.07,0.40,272.41800000000006,277.97674626865637,1.0
AI3 PiecePos-Analyzing_12,3.99,0.99,15.99,1.32,0.86,0.99,1.12,0.39,277.57200000000006,277.97674626865637,0.0
AI3 PiecePos-Analyzing_10,4.04,1.02,16.20,1.27,0.88,1.00,1.11,0.40,281.11600000000004,277.97674626865637,1.0
AI3 PiecePos-Analyzing_6,4.08,0.99,16.35,1.30,0.88,1.02,1.10,0.40,283.694,277.97674626865637,0.0
AI3 PiecePos-Analyzing_7,3.95,1.01,16.12,1.33,0.88,0.98,1.09,0.39,279.49800000000005,277.97674626865637,0.0
AI3 PiecePos-Analyzing_8,4.08,0.98,16.18,1.29,0.89,0.99,1.11,0.40,280.94000000000005,277.97674626865637,0.0
