playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.09,1.01,16.00,1.30,0.81,1.96,1.11,0.40,279.04900000000004,278.14199009901023,1.0
AI3 PiecePos-Analyzing_16,3.90,1.02,15.62,1.28,0.79,2.03,1.12,0.41,272.26199999999994,278.14199009901023,0.0
AI3 PiecePos-Analyzing_5,4.00,0.98,15.87,1.29,0.80,2.04,1.09,0.41,276.62,278.14199009901023,0.0
AI3 PiecePos-Analyzing_26,3.99,0.98,16.34,1.31,0.81,2.05,1.11,0.40,284.16200000000003,278.14199009901023,0.0
AI3 PiecePos-Analyzing_25,3.97,1.01,16.26,1.31,0.80,2.01,1.12,0.40,282.795,278.14199009901023,0.0
AI3 PiecePos-Analyzing_24,4.05,0.99,16.13,1.30,0.81,1.97,1.11,0.39,280.95500000000004,278.14199009901023,1.0
AI3 PiecePos-Analyzing_15,3.99,1.02,15.98,1.33,0.81,1.97,1.10,0.39,278.37300000000005,278.14199009901023,0.0
AI3 PiecePos-Analyzing_13,3.99,1.02,15.62,1.33,0.79,1.98,1.09,0.39,272.596,278.14199009901023,0.0
AI3 PiecePos-Analyzing_22,4.00,1.01,16.14,1.29,0.82,2.04,1.11,0.40,281.0040000000001,278.14199009901023,1.0
AI3 PiecePos-Analyzing_9,3.97,1.01,15.62,1.31,0.79,2.02,1.12,0.40,272.557,278.14199009901023,0.0
AI3 PiecePos-Analyzing_2,4.01,0.98,16.34,1.28,0.80,1.99,1.07,0.40,284.091,278.14199009901023,1.0
AI3 PiecePos-Analyzing_20,3.94,1.01,15.61,1.33,0.81,1.95,1.10,0.41,272.23099999999994,278.14199009901023,0.0
AI3 PiecePos-Analyzing_17,3.99,0.98,16.39,1.27,0.79,2.02,1.12,0.40,284.87500000000006,278.14199009901023,0.0
AI3 PiecePos-Analyzing_21,4.07,1.01,16.40,1.29,0.82,1.99,1.08,0.40,285.36100000000005,278.14199009901023,1.0
AI3 PiecePos-Analyzing_3,3.93,1.02,16.26,1.28,0.82,2.02,1.08,0.40,282.588,278.14199009901023,0.0
AI3 PiecePos-Analyzing_1,3.99,1.01,16.39,1.33,0.82,1.96,1.10,0.40,284.925,278.14199009901023,0.0
AI3 PiecePos-Analyzing_18,4.03,1.00,16.22,1.29,0.79,2.01,1.11,0.39,282.336,278.14199009901023,1.0
AI3 PiecePos-Analyzing_11,3.98,1.00,16.30,1.31,0.79,2.00,1.08,0.39,283.399,278.14199009901023,0.0
AI3 PiecePos-Analyzing_23,3.92,0.98,16.18,1.29,0.82,2.02,1.09,0.40,281.25200000000007,278.14199009901023,0.0
AI3 PiecePos-Analyzing_14,4.04,0.99,16.07,1.32,0.82,2.04,1.09,0.40,280.04100000000005,278.14199009901023,1.0
AI3 PiecePos-Analyzing_19,4.03,1.02,16.32,1.33,0.80,2.01,1.09,0.41,284.00199999999995,278.14199009901023,1.0
AI3 PiecePos-Analyzing_12,3.97,1.01,16.11,1.32,0.79,2.01,1.10,0.39,280.37399999999997,278.14199009901023,0.0
AI3 PiecePos-Analyzing_28,4.04,1.01,16.21,1.28,0.80,2.00,1.07,0.40,282.17100000000005,278.14199009901023,1.0
AI3 PiecePos-Analyzing_10,3.94,1.01,15.71,1.27,0.82,2.04,1.11,0.39,273.85400000000004,278.14199009901023,0.0
AI3 PiecePos-Analyzing_6,4.01,0.98,16.03,1.30,0.81,2.00,1.10,0.41,279.212,278.14199009901023,1.0
AI3 PiecePos-Analyzing_7,3.99,1.01,15.99,1.28,0.79,2.00,1.10,0.40,278.476,278.14199009901023,0.0
AI3 PiecePos-Analyzing_27,4.08,1.02,16.11,1.33,0.79,1.98,1.11,0.40,280.822,278.14199009901023,1.0
AI3 PiecePos-Analyzing_8,4.00,1.00,15.85,1.33,0.82,2.02,1.10,0.40,276.375,278.14199009901023,0.0
