playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.91,1.00,16.27,1.28,0.79,1.84,1.08,0.39,282.43999999999994,278.2371933333331,0.0
AI3 PiecePos-Analyzing_34,4.07,0.98,16.01,1.29,0.79,1.82,1.10,0.40,278.91900000000004,278.2371933333331,1.0
AI3 PiecePos-Analyzing_31,4.08,1.00,16.36,1.28,0.80,1.76,1.10,0.40,284.51399999999995,278.2371933333331,1.0
AI3 PiecePos-Analyzing_33,3.92,1.02,16.01,1.29,0.78,1.77,1.12,0.40,278.3230000000001,278.2371933333331,0.0
AI3 PiecePos-Analyzing_35,4.03,1.01,16.02,1.32,0.80,1.82,1.12,0.39,279.014,278.2371933333331,1.0
AI3 PiecePos-Analyzing_16,4.07,0.98,16.38,1.27,0.81,1.84,1.09,0.40,284.838,278.2371933333331,1.0
AI3 PiecePos-Analyzing_5,3.95,0.98,15.98,1.32,0.80,1.76,1.12,0.40,277.9680000000001,278.2371933333331,0.0
AI3 PiecePos-Analyzing_26,4.07,1.02,16.17,1.33,0.80,1.84,1.08,0.40,281.577,278.2371933333331,1.0
AI3 PiecePos-Analyzing_25,3.99,1.01,15.80,1.30,0.79,1.79,1.13,0.39,275.28100000000006,278.2371933333331,0.0
AI3 PiecePos-Analyzing_24,3.91,1.02,16.28,1.32,0.82,1.76,1.10,0.40,282.64200000000005,278.2371933333331,0.0
AI3 PiecePos-Analyzing_15,3.91,0.98,16.02,1.33,0.79,1.76,1.11,0.39,278.438,278.2371933333331,0.0
AI3 PiecePos-Analyzing_13,3.94,1.00,15.95,1.30,0.78,1.84,1.12,0.41,277.51,278.2371933333331,0.0
AI3 PiecePos-Analyzing_29,4.09,0.98,16.22,1.29,0.81,1.81,1.12,0.40,282.38700000000006,278.2371933333331,1.0
AI3 PiecePos-Analyzing_22,3.91,1.02,16.11,1.33,0.81,1.77,1.07,0.41,279.908,278.2371933333331,0.0
AI3 PiecePos-Analyzing_9,3.97,1.02,16.25,1.31,0.81,1.76,1.12,0.41,282.407,278.2371933333331,0.0
AI3 PiecePos-Analyzing_2,3.92,1.01,15.63,1.33,0.80,1.83,1.11,0.40,272.35,278.2371933333331,0.0
AI3 PiecePos-Analyzing_32,3.93,1.00,15.62,1.33,0.81,1.83,1.13,0.40,272.25,278.2371933333331,0.0
AI3 PiecePos-Analyzing_20,3.96,1.02,15.71,1.32,0.80,1.77,1.08,0.39,273.69,278.2371933333331,0.0
AI3 PiecePos-Analyzing_17,3.95,1.00,15.85,1.29,0.79,1.79,1.08,0.39,275.843,278.2371933333331,0.0
AI3 PiecePos-Analyzing_21,3.92,0.98,15.77,1.29,0.81,1.82,1.09,0.40,274.4840000000001,278.2371933333331,0.0
AI3 PiecePos-Analyzing_3,3.97,0.98,16.36,1.33,0.79,1.81,1.11,0.40,284.172,278.2371933333331,0.0
AI3 PiecePos-Analyzing_1,4.04,1.00,15.85,1.31,0.80,1.81,1.12,0.39,276.301,278.2371933333331,1.0
AI3 PiecePos-Analyzing_18,3.92,0.98,16.00,1.28,0.78,1.76,1.09,0.40,278.06700000000006,278.2371933333331,0.0
AI3 PiecePos-Analyzing_11,4.08,1.02,16.00,1.28,0.80,1.79,1.08,0.41,278.78599999999994,278.2371933333331,1.0
AI3 PiecePos-Analyzing_23,3.97,0.99,15.82,1.27,0.80,1.82,1.09,0.40,275.46000000000004,278.2371933333331,0.0
AI3 PiecePos-Analyzing_14,3.91,0.99,15.99,1.32,0.80,1.78,1.12,0.41,278.002,278.2371933333331,0.0
AI3 PiecePos-Analyzing_19,3.92,1.02,16.07,1.29,0.80,1.77,1.13,0.40,279.31,278.2371933333331,0.0
AI3 PiecePos-Analyzing_12,3.92,1.01,15.82,1.33,0.82,1.84,1.09,0.40,275.394,278.2371933333331,0.0
AI3 PiecePos-Analyzing_28,3.98,0.99,16.38,1.30,0.80,1.80,1.11,0.40,284.50100000000003,278.2371933333331,0.0
AI3 PiecePos-Analyzing_30,4.03,1.01,15.66,1.27,0.78,1.80,1.08,0.39,273.10900000000004,278.2371933333331,1.0
AI3 PiecePos-Analyzing_10,4.04,1.02,16.35,1.30,0.78,1.82,1.10,0.40,284.28400000000005,278.2371933333331,1.0
AI3 PiecePos-Analyzing_6,3.93,1.02,16.16,1.31,0.81,1.81,1.10,0.40,280.831,278.2371933333331,0.0
AI3 PiecePos-Analyzing_7,3.93,0.99,16.02,1.28,0.79,1.76,1.12,0.39,278.474,278.2371933333331,0.0
AI3 PiecePos-Analyzing_27,3.95,0.99,15.98,1.32,0.79,1.78,1.12,0.40,277.99000000000007,278.2371933333331,0.0
AI3 PiecePos-Analyzing_8,4.10,0.99,16.23,1.32,0.80,1.81,1.11,0.40,282.617,278.2371933333331,1.0
