playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.09,1.01,15.66,1.31,0.42,1.02,1.07,0.39,272.322,277.7201269841264,1.0
AI3 PiecePos-Analyzing_34,3.91,1.02,16.08,1.30,0.43,1.02,1.11,0.39,278.371,277.7201269841264,0.0
AI3 PiecePos-Analyzing_31,3.91,1.01,15.81,1.31,0.43,1.01,1.08,0.40,274.015,277.7201269841264,0.0
AI3 PiecePos-Analyzing_33,3.97,0.98,16.22,1.33,0.41,1.02,1.09,0.39,280.81199999999995,277.7201269841264,0.0
AI3 PiecePos-Analyzing_39,4.00,1.01,16.33,1.28,0.42,1.02,1.09,0.39,282.66499999999996,277.7201269841264,1.0
AI3 PiecePos-Analyzing_35,4.07,1.02,15.88,1.27,0.42,1.00,1.12,0.40,275.75900000000007,277.7201269841264,1.0
AI3 PiecePos-Analyzing_16,4.03,1.00,16.01,1.31,0.43,1.02,1.11,0.40,277.728,277.7201269841264,1.0
AI3 PiecePos-Analyzing_5,3.95,1.01,15.84,1.27,0.41,1.02,1.09,0.40,274.608,277.7201269841264,0.0
AI3 PiecePos-Analyzing_26,3.93,0.98,15.74,1.32,0.43,0.99,1.12,0.41,272.98600000000005,277.7201269841264,0.0
AI3 PiecePos-Analyzing_25,3.90,1.01,16.38,1.30,0.42,0.99,1.12,0.40,283.09800000000007,277.7201269841264,0.0
AI3 PiecePos-Analyzing_24,3.97,1.00,16.25,1.30,0.42,0.98,1.10,0.40,281.25600000000003,277.7201269841264,0.0
AI3 PiecePos-Analyzing_15,3.92,0.99,15.97,1.30,0.43,0.99,1.12,0.40,276.60600000000005,277.7201269841264,0.0
AI3 PiecePos-Analyzing_13,4.10,1.00,15.96,1.31,0.42,1.01,1.11,0.41,277.19399999999996,277.7201269841264,1.0
AI3 PiecePos-Analyzing_29,3.93,1.02,15.92,1.28,0.42,1.02,1.12,0.41,275.876,277.7201269841264,0.0
AI3 PiecePos-Analyzing_22,3.96,1.02,15.79,1.30,0.43,1.00,1.11,0.40,273.915,277.7201269841264,0.0
AI3 PiecePos-Analyzing_9,3.97,1.01,16.27,1.29,0.42,0.99,1.08,0.40,281.56100000000004,277.7201269841264,0.0
AI3 PiecePos-Analyzing_2,3.97,1.01,15.99,1.30,0.41,0.98,1.09,0.41,277.091,277.7201269841264,0.0
AI3 PiecePos-Analyzing_32,3.96,0.99,15.83,1.32,0.43,0.99,1.09,0.41,274.523,277.7201269841264,0.0
AI3 PiecePos-Analyzing_38,3.93,1.00,15.79,1.32,0.42,0.99,1.12,0.40,273.7940000000001,277.7201269841264,0.0
AI3 PiecePos-Analyzing_20,3.92,1.02,16.23,1.30,0.43,0.99,1.09,0.40,280.76300000000003,277.7201269841264,0.0
AI3 PiecePos-Analyzing_37,3.97,1.02,16.04,1.31,0.42,1.00,1.10,0.39,277.94499999999994,277.7201269841264,0.0
AI3 PiecePos-Analyzing_17,4.02,1.00,15.96,1.31,0.43,1.02,1.12,0.41,276.90299999999996,277.7201269841264,1.0
AI3 PiecePos-Analyzing_21,4.00,1.01,15.73,1.31,0.43,1.00,1.11,0.39,273.114,277.7201269841264,0.0
AI3 PiecePos-Analyzing_3,3.95,0.99,16.24,1.31,0.41,1.00,1.10,0.41,281.0349999999999,277.7201269841264,0.0
AI3 PiecePos-Analyzing_36,3.91,0.98,16.19,1.32,0.42,1.00,1.08,0.40,280.06000000000006,277.7201269841264,0.0
AI3 PiecePos-Analyzing_1,4.00,0.99,16.13,1.28,0.43,1.00,1.07,0.40,279.415,277.7201269841264,0.0
AI3 PiecePos-Analyzing_18,4.02,1.00,15.96,1.30,0.41,1.00,1.07,0.40,276.795,277.7201269841264,1.0
AI3 PiecePos-Analyzing_11,3.95,1.01,15.75,1.33,0.42,0.98,1.08,0.41,273.207,277.7201269841264,0.0
AI3 PiecePos-Analyzing_23,4.07,1.00,15.86,1.28,0.41,1.00,1.08,0.41,275.3839999999999,277.7201269841264,1.0
AI3 PiecePos-Analyzing_14,3.92,0.98,15.71,1.32,0.42,0.99,1.08,0.39,272.40600000000006,277.7201269841264,0.0
AI3 PiecePos-Analyzing_19,3.94,1.00,15.89,1.32,0.41,0.98,1.09,0.40,275.38300000000004,277.7201269841264,0.0
AI3 PiecePos-Analyzing_12,3.97,1.02,16.28,1.27,0.42,0.98,1.08,0.41,281.699,277.7201269841264,0.0
AI3 PiecePos-Analyzing_28,3.95,0.99,15.66,1.33,0.42,1.01,1.10,0.40,271.795,277.7201269841264,0.0
AI3 PiecePos-Analyzing_30,3.98,1.00,15.87,1.29,0.42,1.00,1.10,0.40,275.223,277.7201269841264,0.0
AI3 PiecePos-Analyzing_10,3.98,0.98,16.33,1.32,0.42,0.99,1.08,0.40,282.57,277.7201269841264,0.0
AI3 PiecePos-Analyzing_6,4.09,1.00,16.06,1.28,0.41,0.99,1.09,0.40,278.661,277.7201269841264,1.0
AI3 PiecePos-Analyzing_7,3.92,0.98,16.05,1.27,0.43,1.00,1.12,0.39,277.8430000000001,277.7201269841264,0.0
AI3 PiecePos-Analyzing_27,3.97,0.98,15.94,1.29,0.42,0.99,1.12,0.41,276.29900000000004,277.7201269841264,0.0
AI3 PiecePos-Analyzing_8,3.98,1.00,16.21,1.28,0.43,1.00,1.09,0.41,280.651,277.7201269841264,0.0
