playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.97,0.98,16.00,1.33,0.79,1.02,0.81,0.40,277.29200000000003,277.78543599999944,0.0
AI3 PiecePos-Analyzing_16,3.92,0.99,15.69,1.30,0.81,0.98,0.79,0.41,272.06100000000004,277.78543599999944,0.0
AI3 PiecePos-Analyzing_5,3.93,0.99,16.35,1.29,0.82,0.99,0.80,0.39,282.66900000000004,277.78543599999944,0.0
AI3 PiecePos-Analyzing_26,3.96,1.00,16.10,1.33,0.79,0.99,0.80,0.41,278.835,277.78543599999944,0.0
AI3 PiecePos-Analyzing_25,4.05,0.99,16.21,1.33,0.79,1.00,0.81,0.40,280.96200000000005,277.78543599999944,1.0
AI3 PiecePos-Analyzing_24,3.99,1.00,16.00,1.28,0.81,1.02,0.81,0.41,277.347,277.78543599999944,0.0
AI3 PiecePos-Analyzing_15,4.04,1.01,15.66,1.33,0.81,1.02,0.79,0.40,272.15600000000006,277.78543599999944,1.0
AI3 PiecePos-Analyzing_13,3.95,1.01,15.92,1.28,0.78,1.02,0.80,0.40,275.878,277.78543599999944,0.0
AI3 PiecePos-Analyzing_29,3.93,0.98,15.98,1.28,0.80,1.00,0.78,0.40,276.702,277.78543599999944,0.0
AI3 PiecePos-Analyzing_22,3.93,0.99,16.25,1.32,0.82,1.00,0.79,0.40,281.11100000000005,277.78543599999944,0.0
AI3 PiecePos-Analyzing_9,4.10,1.00,15.62,1.29,0.80,0.98,0.80,0.40,271.65700000000004,277.78543599999944,1.0
AI3 PiecePos-Analyzing_2,4.07,0.99,15.66,1.31,0.82,0.99,0.81,0.40,272.23,277.78543599999944,1.0
AI3 PiecePos-Analyzing_20,3.99,1.01,15.95,1.33,0.79,1.00,0.81,0.40,276.58200000000005,277.78543599999944,0.0
AI3 PiecePos-Analyzing_17,3.95,0.98,15.68,1.32,0.81,0.99,0.79,0.40,272.04300000000006,277.78543599999944,0.0
AI3 PiecePos-Analyzing_21,4.02,0.98,16.00,1.32,0.80,0.99,0.79,0.40,277.43500000000006,277.78543599999944,1.0
AI3 PiecePos-Analyzing_3,3.99,0.98,15.74,1.32,0.80,0.98,0.82,0.40,273.17800000000005,277.78543599999944,0.0
AI3 PiecePos-Analyzing_1,3.98,1.01,15.85,1.30,0.82,1.02,0.81,0.41,274.95099999999996,277.78543599999944,0.0
AI3 PiecePos-Analyzing_18,4.05,0.99,15.73,1.29,0.78,0.99,0.79,0.40,273.1900000000001,277.78543599999944,1.0
AI3 PiecePos-Analyzing_11,3.96,1.02,16.32,1.28,0.81,1.02,0.79,0.39,282.33700000000005,277.78543599999944,0.0
AI3 PiecePos-Analyzing_23,3.99,1.02,15.81,1.32,0.79,1.01,0.82,0.41,274.364,277.78543599999944,0.0
AI3 PiecePos-Analyzing_14,3.91,1.00,16.34,1.32,0.81,0.99,0.79,0.39,282.45900000000006,277.78543599999944,0.0
AI3 PiecePos-Analyzing_19,3.96,0.99,16.06,1.31,0.81,1.01,0.82,0.41,278.2169999999999,277.78543599999944,0.0
AI3 PiecePos-Analyzing_12,4.08,1.01,15.80,1.27,0.79,0.99,0.81,0.41,274.458,277.78543599999944,0.0
AI3 PiecePos-Analyzing_28,4.02,1.02,16.15,1.27,0.81,1.01,0.81,0.40,279.86000000000007,277.78543599999944,1.0
AI3 PiecePos-Analyzing_30,3.95,1.01,16.08,1.31,0.80,1.02,0.79,0.41,278.48599999999993,277.78543599999944,0.0
AI3 PiecePos-Analyzing_10,3.99,1.01,15.88,1.28,0.81,0.99,0.81,0.40,275.4030000000001,277.78543599999944,0.0
AI3 PiecePos-Analyzing_6,3.91,1.00,16.15,1.28,0.80,1.00,0.78,0.40,279.36199999999997,277.78543599999944,0.0
AI3 PiecePos-Analyzing_7,3.93,1.00,16.24,1.27,0.81,1.01,0.79,0.40,280.898,277.78543599999944,0.0
AI3 PiecePos-Analyzing_27,3.93,0.99,16.39,1.29,0.80,1.02,0.79,0.39,283.312,277.78543599999944,0.0
AI3 PiecePos-Analyzing_8,3.98,0.99,16.18,1.30,0.80,1.00,0.79,0.40,280.14900000000006,277.78543599999944,0.0
