playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.30),weightRooksPos(0.65),weightQueenPos(2.07),weightCastlingBonus(1.85),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_75,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.4959,281.6302211822652,1
AI3 PiecePos-Analyzing_44,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,275.091,281.6302211822652,1
AI3 PiecePos-Analyzing_196,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,280.25509999999997,281.6302211822652,1
AI3 PiecePos-Analyzing_101,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.1576,281.6302211822652,0
AI3 PiecePos-Analyzing_195,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,283.04230000000007,281.6302211822652,1
AI3 PiecePos-Analyzing_148,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.36699999999996,281.6302211822652,1
AI3 PiecePos-Analyzing_137,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,276.6804,281.6302211822652,1
AI3 PiecePos-Analyzing_58,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,276.94370000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_65,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,276.6713,281.6302211822652,1
AI3 PiecePos-Analyzing_149,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,281.4787000000001,281.6302211822652,1
AI3 PiecePos-Analyzing_9,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,281.7009,281.6302211822652,0
AI3 PiecePos-Analyzing_41,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,277.4724,281.6302211822652,1
AI3 PiecePos-Analyzing_92,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,278.65009999999995,281.6302211822652,1
AI3 PiecePos-Analyzing_179,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.05030000000005,281.6302211822652,0
AI3 PiecePos-Analyzing_16,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,276.459,281.6302211822652,1
AI3 PiecePos-Analyzing_7,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,281.72870000000006,281.6302211822652,1
AI3 PiecePos-Analyzing_76,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,274.0753,281.6302211822652,1
AI3 PiecePos-Analyzing_174,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,274.8399,281.6302211822652,1
AI3 PiecePos-Analyzing_54,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,273.07070000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_47,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9302,281.6302211822652,0
AI3 PiecePos-Analyzing_123,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,284.4143,281.6302211822652,1
AI3 PiecePos-Analyzing_114,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.204,281.6302211822652,1
AI3 PiecePos-Analyzing_155,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,283.32,281.6302211822652,0
AI3 PiecePos-Analyzing_157,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,276.31730000000005,281.6302211822652,1
AI3 PiecePos-Analyzing_102,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,275.45930000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_3,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,284.99800000000005,281.6302211822652,1
AI3 PiecePos-Analyzing_70,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,283.15,281.6302211822652,0
AI3 PiecePos-Analyzing_74,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,273.71219999999994,281.6302211822652,1
AI3 PiecePos-Analyzing_120,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.81109999999995,281.6302211822652,1
AI3 PiecePos-Analyzing_132,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,284.44259999999997,281.6302211822652,1
AI3 PiecePos-Analyzing_32,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,284.0467,281.6302211822652,0
AI3 PiecePos-Analyzing_169,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,280.3987000000001,281.6302211822652,1
AI3 PiecePos-Analyzing_37,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,283.72830000000005,281.6302211822652,1
AI3 PiecePos-Analyzing_151,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.8726,281.6302211822652,1
AI3 PiecePos-Analyzing_133,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,281.4241,281.6302211822652,1
AI3 PiecePos-Analyzing_154,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,280.56870000000004,281.6302211822652,0
AI3 PiecePos-Analyzing_189,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,283.83079999999995,281.6302211822652,1
AI3 PiecePos-Analyzing_194,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.37180000000006,281.6302211822652,0
AI3 PiecePos-Analyzing_30,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,274.5887,281.6302211822652,1
AI3 PiecePos-Analyzing_181,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.7929,281.6302211822652,0
AI3 PiecePos-Analyzing_28,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,279.7995,281.6302211822652,0
