playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.30),weightRooksPos(0.65),weightQueenPos(2.07),weightCastlingBonus(1.85),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_75,3.91,1.02,15.98,1.32,0.81,1.00,1.08,0.41,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_44,3.94,1.01,15.78,1.31,0.80,1.01,1.10,0.40,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_196,3.98,1.00,16.18,1.30,0.80,1.02,1.09,0.41,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_101,3.93,1.02,15.80,1.30,0.80,1.00,1.08,0.40,282.9099,280.2978591133003,1
AI3 PiecePos-Analyzing_195,3.99,0.99,15.96,1.27,0.81,1.01,1.10,0.39,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_148,3.92,1.01,15.72,1.31,0.80,1.00,1.09,0.39,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_137,3.93,0.99,15.87,1.33,0.81,1.02,1.10,0.41,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_58,3.98,1.01,16.34,1.33,0.80,0.98,1.12,0.41,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_65,4.04,1.00,15.94,1.33,0.80,0.98,1.10,0.40,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_149,3.94,1.00,15.72,1.28,0.81,1.01,1.08,0.41,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_9,3.94,1.01,16.05,1.31,0.80,1.00,1.11,0.39,282.9099,280.2978591133003,1
AI3 PiecePos-Analyzing_41,4.08,0.99,16.02,1.30,0.79,0.99,1.08,0.39,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_92,3.97,1.01,16.24,1.30,0.81,0.98,1.11,0.40,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_179,3.96,0.98,16.05,1.28,0.81,1.01,1.10,0.40,282.9099,280.2978591133003,1
AI3 PiecePos-Analyzing_16,3.92,1.01,16.33,1.30,0.81,0.99,1.10,0.40,282.9099,280.2978591133003,0
