playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.90,0.98,15.77,1.27,0.81,0.99,1.98,0.40,274.52700000000004,277.5276039603963,0.0
AI3 PiecePos-Analyzing_16,4.02,1.00,15.87,1.32,0.79,0.98,2.02,0.40,276.71000000000004,277.5276039603963,1.0
AI3 PiecePos-Analyzing_5,4.08,0.98,16.20,1.31,0.81,0.98,1.97,0.41,282.162,277.5276039603963,0.0
AI3 PiecePos-Analyzing_15,4.01,0.99,16.27,1.29,0.79,1.01,1.96,0.40,282.985,277.5276039603963,0.5
AI3 PiecePos-Analyzing_13,4.04,1.01,16.24,1.29,0.79,1.02,2.01,0.39,282.706,277.5276039603963,0.0
AI3 PiecePos-Analyzing_9,3.99,0.98,16.32,1.29,0.82,1.00,1.98,0.40,283.73100000000005,277.5276039603963,0.0
AI3 PiecePos-Analyzing_2,4.01,1.00,16.04,1.29,0.80,0.98,1.97,0.40,279.30400000000003,277.5276039603963,1.0
AI3 PiecePos-Analyzing_20,3.99,1.02,15.71,1.32,0.81,0.99,2.05,0.39,274.1050000000001,277.5276039603963,0.0
AI3 PiecePos-Analyzing_17,3.94,0.98,15.77,1.27,0.79,1.00,2.01,0.39,274.71000000000004,277.5276039603963,0.0
AI3 PiecePos-Analyzing_3,4.03,1.00,15.94,1.28,0.81,1.00,2.02,0.41,277.85799999999995,277.5276039603963,1.0
AI3 PiecePos-Analyzing_1,4.00,0.98,15.65,1.33,0.79,1.02,1.96,0.41,273.08099999999996,277.5276039603963,0.0
AI3 PiecePos-Analyzing_18,3.92,1.01,15.96,1.29,0.81,0.99,2.04,0.40,277.7690000000001,277.5276039603963,0.0
AI3 PiecePos-Analyzing_11,4.02,1.00,15.77,1.29,0.78,1.02,1.97,0.41,275.05199999999996,277.5276039603963,0.0
AI3 PiecePos-Analyzing_14,3.90,0.98,16.08,1.31,0.81,0.99,2.03,0.40,279.594,277.5276039603963,0.0
AI3 PiecePos-Analyzing_19,3.98,0.99,16.02,1.32,0.80,1.01,1.98,0.41,278.938,277.5276039603963,0.0
AI3 PiecePos-Analyzing_12,3.93,1.02,15.67,1.28,0.81,1.01,1.98,0.39,273.116,277.5276039603963,0.0
AI3 PiecePos-Analyzing_10,4.03,0.98,15.95,1.29,0.82,1.02,1.96,0.39,277.96500000000003,277.5276039603963,1.0
AI3 PiecePos-Analyzing_6,4.02,1.02,15.80,1.28,0.78,1.00,1.98,0.40,275.52600000000007,277.5276039603963,0.0
AI3 PiecePos-Analyzing_7,4.03,1.02,15.95,1.31,0.82,1.01,1.99,0.39,278.054,277.5276039603963,1.0
AI3 PiecePos-Analyzing_8,3.92,1.02,15.97,1.27,0.80,1.00,2.01,0.39,277.87800000000004,277.5276039603963,0.0
