playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.90,0.98,16.13,1.27,0.82,1.02,1.77,0.40,280.094,277.82264238410585,0.0
AI3 PiecePos-Analyzing_16,3.98,1.02,16.23,1.30,0.81,1.00,1.80,0.40,282.09800000000007,277.82264238410585,0.0
AI3 PiecePos-Analyzing_5,3.94,1.01,16.33,1.29,0.81,1.00,1.82,0.40,283.53700000000003,277.82264238410585,0.0
AI3 PiecePos-Analyzing_15,3.95,1.00,16.28,1.33,0.80,0.98,1.76,0.41,282.729,277.82264238410585,0.0
AI3 PiecePos-Analyzing_13,4.06,1.02,15.63,1.31,0.82,1.01,1.76,0.41,272.80899999999997,277.82264238410585,1.0
AI3 PiecePos-Analyzing_9,4.09,0.99,16.38,1.33,0.82,1.02,1.83,0.39,285.00399999999996,277.82264238410585,1.0
AI3 PiecePos-Analyzing_2,4.08,1.02,16.18,1.32,0.79,1.01,1.77,0.40,281.685,277.82264238410585,0.0
AI3 PiecePos-Analyzing_17,4.03,0.99,15.75,1.33,0.79,1.00,1.80,0.39,274.607,277.82264238410585,0.0
AI3 PiecePos-Analyzing_3,3.95,1.02,15.90,1.31,0.79,1.00,1.82,0.41,276.721,277.82264238410585,0.0
AI3 PiecePos-Analyzing_1,4.07,0.99,16.26,1.27,0.81,1.01,1.77,0.40,282.84600000000006,277.82264238410585,1.0
AI3 PiecePos-Analyzing_11,4.07,1.02,15.78,1.27,0.79,0.98,1.81,0.40,275.194,277.82264238410585,1.0
AI3 PiecePos-Analyzing_14,4.06,1.01,16.37,1.31,0.81,1.00,1.78,0.41,284.64300000000003,277.82264238410585,1.0
AI3 PiecePos-Analyzing_12,4.06,0.98,15.96,1.31,0.79,0.98,1.81,0.39,278.04200000000003,277.82264238410585,1.0
AI3 PiecePos-Analyzing_10,3.98,1.01,16.15,1.33,0.79,1.00,1.82,0.39,280.849,277.82264238410585,0.0
AI3 PiecePos-Analyzing_6,4.04,1.00,16.38,1.28,0.81,1.02,1.81,0.39,284.719,277.82264238410585,0.0
AI3 PiecePos-Analyzing_7,3.91,1.00,16.01,1.32,0.81,0.98,1.82,0.39,278.3020000000001,277.82264238410585,0.0
AI3 PiecePos-Analyzing_8,4.03,0.99,15.65,1.31,0.79,1.00,1.77,0.40,272.952,277.82264238410585,0.0
