playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.00,1.02,15.85,1.33,0.78,0.98,1.08,0.00,275.141,277.4474117647062,1.0
AI3 PiecePos-Analyzing_34,4.05,1.00,16.21,1.28,0.80,0.98,1.09,0.00,281.043,277.4474117647062,1.0
AI3 PiecePos-Analyzing_31,4.04,1.01,15.70,1.30,0.82,1.02,1.12,0.00,272.968,277.4474117647062,0.0
AI3 PiecePos-Analyzing_33,3.94,1.02,15.72,1.29,0.80,1.02,1.10,0.00,272.847,277.4474117647062,0.0
AI3 PiecePos-Analyzing_16,3.95,0.99,16.25,1.27,0.81,0.98,1.10,0.00,281.27900000000005,277.4474117647062,0.0
AI3 PiecePos-Analyzing_5,4.07,1.01,15.85,1.29,0.80,0.99,1.10,0.00,275.407,277.4474117647062,0.5
AI3 PiecePos-Analyzing_26,4.05,1.02,16.15,1.28,0.79,0.98,1.12,0.00,280.12800000000004,277.4474117647062,1.0
AI3 PiecePos-Analyzing_25,4.05,1.02,15.65,1.30,0.81,1.00,1.09,0.00,272.15700000000004,277.4474117647062,1.0
AI3 PiecePos-Analyzing_24,4.04,1.02,15.97,1.28,0.79,1.01,1.11,0.00,277.227,277.4474117647062,0.5
AI3 PiecePos-Analyzing_15,3.99,0.99,16.22,1.29,0.81,0.99,1.10,0.00,280.995,277.4474117647062,0.0
AI3 PiecePos-Analyzing_13,3.93,1.00,15.69,1.29,0.79,1.01,1.09,0.00,272.278,277.4474117647062,0.0
AI3 PiecePos-Analyzing_29,4.02,1.01,15.92,1.30,0.82,0.98,1.12,0.00,276.36800000000005,277.4474117647062,1.0
AI3 PiecePos-Analyzing_22,4.05,1.01,15.82,1.31,0.81,1.00,1.10,0.00,274.89099999999996,277.4474117647062,0.0
AI3 PiecePos-Analyzing_9,3.94,1.01,16.17,1.32,0.79,1.02,1.10,0.00,280.068,277.4474117647062,0.0
AI3 PiecePos-Analyzing_2,3.99,1.00,16.39,1.33,0.79,1.00,1.09,0.00,283.76,277.4474117647062,0.0
AI3 PiecePos-Analyzing_32,3.99,0.98,15.73,1.30,0.81,0.99,1.09,0.00,273.14700000000005,277.4474117647062,0.0
AI3 PiecePos-Analyzing_20,4.03,0.98,16.12,1.33,0.82,1.02,1.10,0.00,279.635,277.4474117647062,0.5
AI3 PiecePos-Analyzing_17,3.97,0.98,15.64,1.30,0.80,0.99,1.10,0.00,271.63,277.4474117647062,0.0
AI3 PiecePos-Analyzing_21,4.10,1.00,15.67,1.28,0.80,1.00,1.11,0.00,272.645,277.4474117647062,0.5
AI3 PiecePos-Analyzing_3,4.02,1.00,16.21,1.29,0.79,1.01,1.12,0.00,280.99100000000004,277.4474117647062,0.0
AI3 PiecePos-Analyzing_1,4.08,1.01,16.13,1.30,0.80,1.00,1.09,0.00,279.93899999999996,277.4474117647062,1.0
AI3 PiecePos-Analyzing_18,3.93,1.00,15.78,1.27,0.81,1.01,1.08,0.00,273.697,277.4474117647062,0.0
AI3 PiecePos-Analyzing_11,3.91,0.99,16.11,1.33,0.81,1.00,1.11,0.00,278.988,277.4474117647062,0.0
AI3 PiecePos-Analyzing_23,4.09,1.01,16.05,1.31,0.79,1.00,1.11,0.00,278.726,277.4474117647062,1.0
AI3 PiecePos-Analyzing_14,3.98,0.98,15.88,1.30,0.82,0.98,1.09,0.00,275.50500000000005,277.4474117647062,0.0
AI3 PiecePos-Analyzing_19,3.99,1.02,16.18,1.28,0.79,1.02,1.07,0.00,280.353,277.4474117647062,0.0
AI3 PiecePos-Analyzing_12,3.95,1.01,16.34,1.28,0.79,1.00,1.09,0.00,282.745,277.4474117647062,0.0
AI3 PiecePos-Analyzing_28,3.95,1.02,16.13,1.32,0.81,0.99,1.12,0.00,279.48600000000005,277.4474117647062,0.0
AI3 PiecePos-Analyzing_30,4.06,1.02,15.80,1.29,0.80,1.01,1.10,0.00,274.597,277.4474117647062,0.0
AI3 PiecePos-Analyzing_10,3.95,1.00,16.21,1.28,0.82,1.00,1.12,0.00,280.71200000000005,277.4474117647062,0.0
AI3 PiecePos-Analyzing_6,3.99,1.02,15.82,1.31,0.79,1.00,1.10,0.00,274.645,277.4474117647062,0.0
AI3 PiecePos-Analyzing_7,4.04,1.01,16.21,1.27,0.78,1.01,1.08,0.00,281.00300000000004,277.4474117647062,0.0
AI3 PiecePos-Analyzing_27,4.03,0.99,16.10,1.30,0.82,1.01,1.12,0.00,279.29800000000006,277.4474117647062,1.0
AI3 PiecePos-Analyzing_8,3.92,0.98,15.84,1.31,0.81,0.98,1.08,0.00,274.619,277.4474117647062,0.0
