playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.95,0.98,15.93,1.28,0.81,1.62,1.09,0.39,276.947,277.50282436260557,0.0
AI3 PiecePos-Analyzing_34,3.92,1.02,15.78,1.29,0.79,1.58,1.11,0.40,274.45000000000005,277.50282436260557,0.0
AI3 PiecePos-Analyzing_31,3.91,0.98,16.27,1.33,0.80,1.60,1.10,0.40,282.279,277.50282436260557,0.0
AI3 PiecePos-Analyzing_33,3.93,1.02,15.78,1.33,0.80,1.58,1.07,0.41,274.50999999999993,277.50282436260557,0.0
AI3 PiecePos-Analyzing_35,3.91,0.98,15.77,1.27,0.80,1.61,1.10,0.41,274.215,277.50282436260557,0.0
AI3 PiecePos-Analyzing_16,3.98,0.98,15.74,1.31,0.82,1.60,1.12,0.40,274.09100000000007,277.50282436260557,0.0
AI3 PiecePos-Analyzing_5,3.96,0.98,15.86,1.28,0.79,1.56,1.11,0.40,275.817,277.50282436260557,0.0
AI3 PiecePos-Analyzing_26,3.94,1.02,15.66,1.29,0.82,1.59,1.07,0.41,272.60400000000004,277.50282436260557,0.0
AI3 PiecePos-Analyzing_25,3.96,1.02,16.34,1.27,0.81,1.63,1.08,0.40,283.57700000000006,277.50282436260557,0.0
AI3 PiecePos-Analyzing_24,3.90,1.00,15.82,1.29,0.78,1.56,1.10,0.41,274.95500000000004,277.50282436260557,0.0
AI3 PiecePos-Analyzing_15,3.92,1.00,15.69,1.28,0.79,1.59,1.10,0.40,272.97599999999994,277.50282436260557,0.0
AI3 PiecePos-Analyzing_13,3.95,0.99,16.05,1.29,0.79,1.56,1.08,0.41,278.81100000000004,277.50282436260557,0.0
AI3 PiecePos-Analyzing_29,3.93,1.00,15.77,1.29,0.80,1.56,1.10,0.40,274.287,277.50282436260557,0.0
AI3 PiecePos-Analyzing_22,3.96,1.02,16.20,1.28,0.78,1.64,1.12,0.40,281.38000000000005,277.50282436260557,0.0
AI3 PiecePos-Analyzing_9,3.96,1.02,16.12,1.29,0.78,1.62,1.09,0.40,280.0600000000001,277.50282436260557,0.0
AI3 PiecePos-Analyzing_2,3.98,1.00,16.07,1.30,0.79,1.63,1.09,0.40,279.35100000000006,277.50282436260557,0.0
AI3 PiecePos-Analyzing_32,3.96,0.99,15.79,1.28,0.78,1.62,1.07,0.40,274.71500000000003,277.50282436260557,0.0
AI3 PiecePos-Analyzing_20,3.92,1.01,16.03,1.29,0.80,1.57,1.10,0.39,278.423,277.50282436260557,0.0
AI3 PiecePos-Analyzing_37,3.90,1.00,16.03,1.29,0.79,1.62,1.12,0.40,278.4010000000001,277.50282436260557,0.0
AI3 PiecePos-Analyzing_17,3.98,1.00,15.63,1.32,0.80,1.60,1.09,0.41,272.319,277.50282436260557,0.0
AI3 PiecePos-Analyzing_21,3.92,0.98,16.05,1.31,0.79,1.61,1.12,0.41,278.80100000000004,277.50282436260557,0.0
AI3 PiecePos-Analyzing_3,3.96,1.02,16.35,1.33,0.80,1.60,1.11,0.41,283.814,277.50282436260557,0.0
AI3 PiecePos-Analyzing_36,3.94,1.02,15.84,1.30,0.82,1.60,1.09,0.40,275.5250000000001,277.50282436260557,0.0
AI3 PiecePos-Analyzing_1,3.91,1.01,15.60,1.28,0.80,1.63,1.08,0.39,271.52799999999996,277.50282436260557,0.0
AI3 PiecePos-Analyzing_18,3.99,1.00,15.96,1.31,0.79,1.61,1.10,0.39,277.631,277.50282436260557,0.0
AI3 PiecePos-Analyzing_11,3.98,1.00,16.03,1.31,0.79,1.63,1.10,0.40,278.735,277.50282436260557,0.0
AI3 PiecePos-Analyzing_23,3.92,0.98,15.81,1.33,0.81,1.59,1.11,0.40,274.968,277.50282436260557,0.0
AI3 PiecePos-Analyzing_14,3.99,0.99,16.08,1.32,0.82,1.57,1.13,0.40,279.575,277.50282436260557,0.0
AI3 PiecePos-Analyzing_19,3.94,0.99,16.29,1.31,0.81,1.63,1.09,0.39,282.726,277.50282436260557,0.0
AI3 PiecePos-Analyzing_12,3.93,1.01,16.03,1.32,0.79,1.60,1.10,0.39,278.52400000000006,277.50282436260557,0.0
AI3 PiecePos-Analyzing_28,3.90,0.98,15.63,1.27,0.81,1.61,1.08,0.40,271.9170000000001,277.50282436260557,0.0
AI3 PiecePos-Analyzing_30,3.93,0.98,15.82,1.32,0.78,1.59,1.13,0.39,275.149,277.50282436260557,0.0
AI3 PiecePos-Analyzing_10,3.96,1.02,15.70,1.33,0.80,1.61,1.11,0.41,273.424,277.50282436260557,0.0
AI3 PiecePos-Analyzing_6,3.92,0.99,16.01,1.28,0.82,1.58,1.10,0.40,278.1,277.50282436260557,0.0
AI3 PiecePos-Analyzing_7,3.92,1.01,15.67,1.29,0.79,1.61,1.08,0.40,272.6770000000001,277.50282436260557,0.0
AI3 PiecePos-Analyzing_27,3.96,1.02,16.17,1.32,0.80,1.61,1.12,0.39,280.9340000000001,277.50282436260557,0.0
AI3 PiecePos-Analyzing_8,3.99,0.99,16.36,1.30,0.82,1.60,1.07,0.40,283.99300000000005,277.50282436260557,0.0
