playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.98,0.98,16.39,1.29,1.32,1.01,1.09,0.39,284.238,277.81358057395073,0.0
AI3 PiecePos-Analyzing_16,3.97,0.98,15.63,1.31,1.34,0.99,1.12,0.40,272.09700000000004,277.81358057395073,0.0
AI3 PiecePos-Analyzing_5,3.91,1.00,15.80,1.31,1.33,0.98,1.09,0.39,274.54200000000003,277.81358057395073,0.0
AI3 PiecePos-Analyzing_26,3.90,1.00,15.64,1.27,1.34,1.00,1.09,0.40,271.9220000000001,277.81358057395073,0.0
AI3 PiecePos-Analyzing_25,4.02,1.01,15.89,1.32,1.31,0.98,1.10,0.39,276.44,277.81358057395073,0.0
AI3 PiecePos-Analyzing_24,3.95,1.02,16.24,1.31,1.30,0.99,1.11,0.40,281.774,277.81358057395073,0.0
AI3 PiecePos-Analyzing_15,4.01,0.99,15.86,1.28,1.28,1.02,1.08,0.40,275.84599999999995,277.81358057395073,1.0
AI3 PiecePos-Analyzing_13,3.96,0.98,15.91,1.32,1.28,0.99,1.11,0.40,276.49100000000004,277.81358057395073,0.0
AI3 PiecePos-Analyzing_22,3.98,0.98,16.00,1.31,1.30,1.00,1.11,0.40,278.024,277.81358057395073,0.0
AI3 PiecePos-Analyzing_9,3.98,0.99,15.85,1.29,1.32,0.99,1.08,0.40,275.581,277.81358057395073,0.0
AI3 PiecePos-Analyzing_2,3.98,0.99,15.86,1.32,1.32,0.99,1.09,0.41,275.795,277.81358057395073,0.0
AI3 PiecePos-Analyzing_20,3.98,1.00,15.87,1.27,1.30,1.02,1.11,0.40,275.932,277.81358057395073,0.0
AI3 PiecePos-Analyzing_17,3.98,1.02,15.64,1.27,1.34,1.02,1.12,0.40,272.31500000000005,277.81358057395073,0.0
AI3 PiecePos-Analyzing_21,3.93,0.99,15.99,1.28,1.28,0.99,1.12,0.41,277.624,277.81358057395073,0.0
AI3 PiecePos-Analyzing_3,3.97,0.99,15.93,1.28,1.34,1.01,1.11,0.39,276.873,277.81358057395073,0.0
AI3 PiecePos-Analyzing_1,3.95,1.02,16.36,1.28,1.34,1.02,1.12,0.40,283.728,277.81358057395073,0.0
AI3 PiecePos-Analyzing_18,3.95,0.98,15.69,1.33,1.33,1.00,1.11,0.41,272.998,277.81358057395073,0.0
AI3 PiecePos-Analyzing_11,3.93,0.98,16.19,1.27,1.30,0.98,1.11,0.40,280.7920000000001,277.81358057395073,0.0
AI3 PiecePos-Analyzing_23,3.92,1.02,16.27,1.32,1.33,0.98,1.11,0.40,282.16100000000006,277.81358057395073,0.0
AI3 PiecePos-Analyzing_14,4.08,1.02,15.83,1.30,1.32,0.98,1.12,0.41,275.742,277.81358057395073,0.5
AI3 PiecePos-Analyzing_19,3.91,1.00,16.33,1.27,1.28,1.01,1.13,0.40,283.008,277.81358057395073,0.0
AI3 PiecePos-Analyzing_12,3.92,0.98,15.74,1.32,1.34,1.02,1.12,0.41,273.704,277.81358057395073,0.0
AI3 PiecePos-Analyzing_10,3.97,0.99,16.04,1.27,1.29,0.99,1.12,0.40,278.57500000000005,277.81358057395073,0.0
AI3 PiecePos-Analyzing_6,3.93,0.99,15.67,1.31,1.29,0.98,1.10,0.39,272.51099999999997,277.81358057395073,0.0
AI3 PiecePos-Analyzing_7,3.99,1.02,15.84,1.32,1.33,1.01,1.11,0.40,275.59100000000007,277.81358057395073,0.0
AI3 PiecePos-Analyzing_27,3.93,1.01,16.17,1.31,1.29,1.00,1.10,0.41,280.55899999999997,277.81358057395073,0.0
AI3 PiecePos-Analyzing_8,3.98,1.00,15.83,1.28,1.28,1.00,1.12,0.40,275.28000000000003,277.81358057395073,0.0
