playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.97,1.02,16.32,1.29,0.80,0.98,1.11,0.00,282.538,277.3939607843137,0.0
AI3 PiecePos-Analyzing_16,3.99,0.99,15.82,1.27,0.82,1.01,1.11,0.00,274.608,277.3939607843137,0.0
AI3 PiecePos-Analyzing_5,4.01,1.01,15.97,1.31,0.79,1.01,1.09,0.00,277.114,277.3939607843137,0.0
AI3 PiecePos-Analyzing_15,3.96,1.00,15.70,1.32,0.80,0.99,1.08,0.00,272.57399999999996,277.3939607843137,0.0
AI3 PiecePos-Analyzing_13,3.93,1.01,15.75,1.33,0.80,1.02,1.08,0.00,273.30699999999996,277.3939607843137,0.0
AI3 PiecePos-Analyzing_9,4.08,0.98,15.66,1.28,0.79,0.98,1.10,0.00,272.346,277.3939607843137,1.0
AI3 PiecePos-Analyzing_2,3.94,0.98,16.13,1.27,0.79,1.01,1.13,0.00,279.356,277.3939607843137,0.0
AI3 PiecePos-Analyzing_17,3.98,0.99,15.99,1.28,0.79,1.02,1.10,0.00,277.27599999999995,277.3939607843137,0.0
AI3 PiecePos-Analyzing_3,3.94,1.02,15.79,1.28,0.80,1.00,1.08,0.00,273.9119999999999,277.3939607843137,0.0
AI3 PiecePos-Analyzing_1,4.01,1.01,16.15,1.33,0.79,1.01,1.08,0.00,280.00899999999996,277.3939607843137,1.0
AI3 PiecePos-Analyzing_18,4.04,1.01,16.24,1.28,0.80,1.00,1.08,0.00,281.50199999999995,277.3939607843137,1.0
AI3 PiecePos-Analyzing_11,3.97,1.00,16.20,1.31,0.78,1.00,1.09,0.00,280.606,277.3939607843137,0.0
AI3 PiecePos-Analyzing_14,3.92,0.98,15.91,1.31,0.80,1.01,1.13,0.00,275.816,277.3939607843137,0.0
AI3 PiecePos-Analyzing_19,3.94,1.00,15.99,1.28,0.81,1.00,1.12,0.00,277.14400000000006,277.3939607843137,0.0
AI3 PiecePos-Analyzing_12,4.02,1.00,15.87,1.29,0.81,1.01,1.08,0.00,275.523,277.3939607843137,1.0
AI3 PiecePos-Analyzing_10,3.92,1.01,15.90,1.30,0.81,1.01,1.12,0.00,275.6700000000001,277.3939607843137,0.0
AI3 PiecePos-Analyzing_6,4.00,0.99,16.30,1.32,0.79,1.00,1.11,0.00,282.35900000000004,277.3939607843137,0.0
AI3 PiecePos-Analyzing_7,3.93,0.98,15.95,1.33,0.81,1.00,1.07,0.00,276.454,277.3939607843137,0.0
AI3 PiecePos-Analyzing_8,4.09,0.99,15.67,1.28,0.79,0.98,1.12,0.00,272.57800000000003,277.3939607843137,0.5
