playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.96,0.98,16.34,1.32,1.34,0.99,1.09,0.41,283.401,277.68436323851137,0.0
AI3 PiecePos-Analyzing_16,3.94,1.02,15.61,1.28,1.33,1.00,1.10,0.40,271.638,277.68436323851137,0.0
AI3 PiecePos-Analyzing_5,4.00,1.01,15.65,1.30,1.32,1.00,1.08,0.41,272.508,277.68436323851137,0.0
AI3 PiecePos-Analyzing_26,3.95,1.02,16.00,1.29,1.32,0.98,1.11,0.39,277.91,277.68436323851137,0.0
AI3 PiecePos-Analyzing_25,4.00,0.99,16.24,1.31,1.30,0.99,1.10,0.40,281.933,277.68436323851137,1.0
AI3 PiecePos-Analyzing_24,3.94,1.02,15.78,1.30,1.30,0.99,1.08,0.39,274.324,277.68436323851137,0.0
AI3 PiecePos-Analyzing_15,3.95,1.01,16.20,1.32,1.30,0.98,1.11,0.41,281.13100000000003,277.68436323851137,0.0
AI3 PiecePos-Analyzing_13,3.98,1.00,15.86,1.30,1.34,0.99,1.09,0.40,275.79100000000005,277.68436323851137,0.0
AI3 PiecePos-Analyzing_22,3.94,1.00,15.70,1.28,1.30,1.02,1.08,0.41,273.03599999999994,277.68436323851137,0.0
AI3 PiecePos-Analyzing_9,3.94,1.01,15.75,1.28,1.30,0.98,1.12,0.40,273.84600000000006,277.68436323851137,0.0
AI3 PiecePos-Analyzing_2,4.04,1.00,16.12,1.32,1.34,0.99,1.07,0.40,280.1950000000001,277.68436323851137,1.0
AI3 PiecePos-Analyzing_20,3.94,1.00,15.96,1.32,1.30,0.98,1.08,0.40,277.20400000000006,277.68436323851137,0.0
AI3 PiecePos-Analyzing_17,3.95,1.02,15.70,1.32,1.33,0.98,1.12,0.40,273.1720000000001,277.68436323851137,0.0
AI3 PiecePos-Analyzing_21,3.90,0.99,15.67,1.32,1.32,1.02,1.10,0.41,272.47599999999994,277.68436323851137,0.0
AI3 PiecePos-Analyzing_3,4.00,1.02,16.14,1.27,1.29,1.01,1.08,0.40,280.301,277.68436323851137,0.0
AI3 PiecePos-Analyzing_1,3.96,0.99,15.74,1.31,1.32,0.98,1.09,0.40,273.76800000000003,277.68436323851137,0.0
AI3 PiecePos-Analyzing_18,3.94,0.99,15.67,1.27,1.29,1.02,1.08,0.41,272.525,277.68436323851137,0.0
AI3 PiecePos-Analyzing_11,4.03,0.99,15.94,1.32,1.28,0.99,1.11,0.40,277.261,277.68436323851137,0.0
AI3 PiecePos-Analyzing_23,3.95,1.00,16.14,1.28,1.29,1.01,1.08,0.39,280.09,277.68436323851137,0.0
AI3 PiecePos-Analyzing_14,4.05,1.02,16.15,1.30,1.29,0.99,1.09,0.40,280.69100000000003,277.68436323851137,0.5
AI3 PiecePos-Analyzing_19,3.90,1.00,16.06,1.32,1.29,1.02,1.09,0.40,278.687,277.68436323851137,0.0
AI3 PiecePos-Analyzing_12,4.00,0.99,16.01,1.32,1.29,0.99,1.11,0.39,278.26500000000004,277.68436323851137,0.0
AI3 PiecePos-Analyzing_28,3.95,0.99,15.99,1.32,1.30,1.02,1.12,0.40,277.79800000000006,277.68436323851137,0.0
AI3 PiecePos-Analyzing_10,3.96,0.98,16.20,1.27,1.30,1.01,1.10,0.40,281.091,277.68436323851137,0.0
AI3 PiecePos-Analyzing_6,3.91,0.99,16.09,1.29,1.33,0.99,1.12,0.41,279.19700000000006,277.68436323851137,0.0
AI3 PiecePos-Analyzing_7,4.07,1.00,16.12,1.31,1.31,1.00,1.12,0.41,280.34700000000004,277.68436323851137,0.5
AI3 PiecePos-Analyzing_27,3.98,1.01,15.70,1.33,1.30,0.98,1.12,0.41,273.27500000000003,277.68436323851137,0.0
AI3 PiecePos-Analyzing_8,3.93,1.00,15.64,1.29,1.33,1.00,1.08,0.40,272.0490000000001,277.68436323851137,0.0
