playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.00,1.02,16.10,1.31,0.81,1.00,1.10,1.01,279.585,277.39571306818067,1.0
AI3 PiecePos-Analyzing_5,4.06,1.00,15.87,1.27,0.79,1.00,1.08,0.99,276.027,277.39571306818067,0.0
AI3 PiecePos-Analyzing_15,3.98,1.02,16.01,1.28,0.79,1.01,1.08,1.02,278.002,277.39571306818067,0.0
AI3 PiecePos-Analyzing_13,4.05,1.02,16.10,1.33,0.78,1.00,1.08,1.02,279.76900000000006,277.39571306818067,1.0
AI3 PiecePos-Analyzing_9,3.92,0.98,16.18,1.31,0.80,1.01,1.09,0.99,280.488,277.39571306818067,0.0
AI3 PiecePos-Analyzing_2,4.08,1.00,15.62,1.31,0.82,1.01,1.08,1.01,272.20099999999996,277.39571306818067,0.0
AI3 PiecePos-Analyzing_3,4.00,1.01,16.02,1.28,0.81,1.02,1.13,1.00,278.30499999999995,277.39571306818067,0.0
AI3 PiecePos-Analyzing_1,3.95,0.99,15.69,1.29,0.78,1.01,1.11,1.02,272.77000000000004,277.39571306818067,0.0
AI3 PiecePos-Analyzing_11,3.98,0.98,15.73,1.33,0.80,1.00,1.09,0.99,273.544,277.39571306818067,0.0
AI3 PiecePos-Analyzing_14,3.93,1.00,16.05,1.32,0.79,1.02,1.11,0.99,278.505,277.39571306818067,0.0
AI3 PiecePos-Analyzing_12,3.94,1.00,15.61,1.33,0.81,0.98,1.09,0.99,271.47200000000004,277.39571306818067,0.0
AI3 PiecePos-Analyzing_10,4.07,0.99,16.01,1.32,0.80,1.02,1.12,0.98,278.43,277.39571306818067,0.0
AI3 PiecePos-Analyzing_6,4.07,1.00,16.37,1.31,0.80,0.98,1.11,1.00,284.144,277.39571306818067,1.0
AI3 PiecePos-Analyzing_7,3.92,0.99,15.83,1.32,0.78,0.98,1.11,0.99,274.88700000000006,277.39571306818067,0.0
AI3 PiecePos-Analyzing_8,3.97,1.01,15.73,1.29,0.78,1.02,1.10,1.00,273.501,277.39571306818067,0.0
