playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.00,1.00,15.80,1.28,0.79,1.01,1.59,0.40,275.01500000000004,277.7250568181806,1.0
AI3 PiecePos-Analyzing_5,3.98,0.98,16.00,1.32,0.81,1.02,1.64,0.40,278.248,277.7250568181806,0.0
AI3 PiecePos-Analyzing_13,4.09,1.02,16.33,1.32,0.79,0.98,1.59,0.40,283.89700000000005,277.7250568181806,0.5
AI3 PiecePos-Analyzing_9,4.05,1.01,15.68,1.28,0.80,1.01,1.61,0.40,273.335,277.7250568181806,1.0
AI3 PiecePos-Analyzing_2,4.01,1.02,16.38,1.29,0.82,1.00,1.61,0.41,284.408,277.7250568181806,0.0
AI3 PiecePos-Analyzing_3,3.91,1.02,16.38,1.30,0.82,0.98,1.63,0.40,284.01900000000006,277.7250568181806,0.0
AI3 PiecePos-Analyzing_1,4.09,1.00,16.05,1.32,0.79,1.02,1.58,0.41,279.43,277.7250568181806,0.0
AI3 PiecePos-Analyzing_11,4.04,0.99,16.35,1.27,0.82,1.01,1.61,0.39,283.994,277.7250568181806,0.5
AI3 PiecePos-Analyzing_12,3.93,1.01,15.64,1.33,0.81,1.00,1.58,0.39,272.24100000000004,277.7250568181806,0.0
AI3 PiecePos-Analyzing_10,3.94,1.01,15.70,1.31,0.80,1.00,1.63,0.40,273.26599999999996,277.7250568181806,0.0
AI3 PiecePos-Analyzing_6,3.98,1.00,16.33,1.32,0.79,1.00,1.62,0.39,283.486,277.7250568181806,0.0
AI3 PiecePos-Analyzing_7,3.91,0.99,16.18,1.31,0.80,1.01,1.62,0.40,280.80499999999995,277.7250568181806,0.0
AI3 PiecePos-Analyzing_8,3.98,1.02,15.91,1.31,0.79,1.02,1.56,0.40,276.731,277.7250568181806,0.0
