playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.00,0.99,16.35,1.31,0.82,0.98,1.00,0.40,283.1890000000001,277.7544724061799,0.0
AI3 PiecePos-Analyzing_16,4.05,0.98,15.69,1.29,0.79,1.01,0.98,0.40,272.777,277.7544724061799,1.0
AI3 PiecePos-Analyzing_5,3.99,1.02,16.16,1.32,0.78,1.00,0.99,0.40,280.1290000000001,277.7544724061799,0.0
AI3 PiecePos-Analyzing_15,4.03,1.01,15.99,1.31,0.81,0.99,1.00,0.39,277.56700000000006,277.7544724061799,1.0
AI3 PiecePos-Analyzing_13,3.99,1.01,15.79,1.33,0.79,0.98,1.00,0.41,274.21500000000003,277.7544724061799,0.0
AI3 PiecePos-Analyzing_9,3.95,1.00,15.99,1.32,0.82,0.99,1.00,0.40,277.26200000000006,277.7544724061799,0.0
AI3 PiecePos-Analyzing_2,4.06,1.02,15.74,1.31,0.79,0.99,1.00,0.40,273.68500000000006,277.7544724061799,0.0
AI3 PiecePos-Analyzing_17,3.99,1.02,15.70,1.30,0.80,0.99,0.98,0.41,272.74199999999996,277.7544724061799,0.0
AI3 PiecePos-Analyzing_3,4.07,1.00,15.92,1.33,0.78,1.02,1.02,0.40,276.65500000000003,277.7544724061799,1.0
AI3 PiecePos-Analyzing_1,4.00,1.01,16.12,1.31,0.79,1.02,1.00,0.40,279.545,277.7544724061799,0.0
AI3 PiecePos-Analyzing_18,4.08,1.00,16.08,1.33,0.80,1.02,1.00,0.41,279.25299999999993,277.7544724061799,0.5
AI3 PiecePos-Analyzing_11,3.95,1.01,15.89,1.29,0.82,0.99,1.01,0.39,275.64000000000004,277.7544724061799,0.0
AI3 PiecePos-Analyzing_14,4.06,0.98,15.82,1.31,0.79,1.01,0.98,0.39,274.919,277.7544724061799,1.0
AI3 PiecePos-Analyzing_12,4.04,1.01,16.37,1.28,0.78,1.01,0.99,0.39,283.63300000000004,277.7544724061799,0.0
AI3 PiecePos-Analyzing_10,3.97,1.02,15.67,1.28,0.80,0.99,0.99,0.41,272.167,277.7544724061799,0.0
AI3 PiecePos-Analyzing_6,3.98,1.01,15.61,1.32,0.79,0.99,1.01,0.40,271.29900000000004,277.7544724061799,0.0
AI3 PiecePos-Analyzing_7,4.03,0.98,16.25,1.31,0.80,1.00,1.02,0.40,281.725,277.7544724061799,1.0
AI3 PiecePos-Analyzing_8,4.10,1.01,16.05,1.29,0.78,0.98,1.01,0.39,278.7580000000001,277.7544724061799,1.0
